date,rank,symbol,final_alpha_score,confidence,expected_alpha_20d,expected_alpha_90d,strongest_drivers,gate_reason,entry_zone,invalidation,trim_schedule,max_position_size_pct,max_position_size_usd,avg_daily_volume,market_cap_usd,options_overlay
2026-03-13,1,PLTR,0.3918,0.661,1.18%,2.74%,peer_relative(1.00); value(0.79); alt_momentum(0.61),,$150.43 - $156.57 (stagger 40/30/30),Invalidate if thesis breaks: 2 weak KPI prints or -12% from blended entry,"Trim 10% at +20%, Trim 10% at +40%, Trim 15% at +75%, Trim 20% at +120%",8.95%,739.98,48617233,367122219008,"Optional long call: debit <= $150, 45-90 DTE, 0.35-0.45 delta"
2026-03-13,2,APP,0.3488,0.661,1.05%,2.44%,peer_relative(1.00); alt_momentum(0.54); value(0.31),,$440.34 - $458.32 (stagger 40/30/30),Invalidate if thesis breaks: 2 weak KPI prints or -12% from blended entry,"Trim 10% at +20%, Trim 10% at +40%, Trim 15% at +75%, Trim 20% at +120%",8.74%,739.98,5953515,151853318144,"Optional long call: debit <= $150, 45-90 DTE, 0.35-0.45 delta"
2026-03-13,3,NEM,0.3106,0.661,0.93%,2.17%,peer_relative(1.00); value(0.55); alt_momentum(0.40),,$112.19 - $116.77 (stagger 40/30/30),Invalidate if thesis breaks: 2 weak KPI prints or -12% from blended entry,"Trim 10% at +20%, Trim 10% at +40%, Trim 15% at +75%, Trim 20% at +120%",8.55%,739.98,9673898,124927787008,"Optional long call: debit <= $150, 45-90 DTE, 0.35-0.45 delta"
2026-03-13,4,FIX,0.2878,0.661,0.86%,2.01%,peer_relative(1.00); value(0.62); alt_momentum(0.24),,$1346.28 - $1401.24 (stagger 40/30/30),Invalidate if thesis breaks: 2 weak KPI prints or -12% from blended entry,"Trim 10% at +20%, Trim 10% at +40%, Trim 15% at +75%, Trim 20% at +120%",8.43%,739.98,553326,48455196672,No options overlay (liquidity gate failed)
2026-03-13,5,TTD,0.1950,0.661,0.58%,1.36%,peer_relative(1.00); value(0.41); alt_momentum(0.01),,$25.99 - $27.06 (stagger 40/30/30),Invalidate if thesis breaks: 2 weak KPI prints or -12% from blended entry,"Trim 10% at +20%, Trim 10% at +40%, Trim 15% at +75%, Trim 20% at +120%",7.97%,739.98,16930244,12625291264,"Optional long call: debit <= $150, 45-90 DTE, 0.35-0.45 delta"
