date,symbol,final_alpha_score,confidence,quality_score,growth_score,alt_momentum_score,peer_relative_score,value_score,expected_kpi_surprise,expected_stock_reaction,strongest_drivers,historical_backtest,why_now,why_risky
2026-04-04,FIX,0.5907,0.913,0.766,0.359,1.000,1.000,0.200,225.21%,Likely positive post-earnings drift,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00),Insufficient historical setups (need outcomes + historical alt data).,Alpha rank 1 with strong factor mix (alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00)),Thin FCF margin
2026-04-04,LRCX,0.4466,0.831,0.609,0.123,0.634,0.634,0.450,65.81%,Likely positive post-earnings drift,pead(1.00); alt_momentum(0.63); peer_relative(0.63),"n=1, hit_rate=100.00%, avg_5d=12.08%, similar5_avg_5d=12.08%",Alpha rank 2 with strong factor mix (pead(1.00); alt_momentum(0.63); peer_relative(0.63)),No major metric flags
2026-04-04,DECK,0.4396,0.749,1.000,0.463,0.209,0.209,0.676,-40.00%,Mixed / neutral expected reaction,quality(1.00); value(0.68); growth(0.46),"n=1, hit_rate=0.00%, avg_5d=2.77%, similar5_avg_5d=2.77%",Alpha rank 3 with strong factor mix (quality(1.00); value(0.68); growth(0.46)),No major metric flags
2026-04-04,NVDA,0.4177,0.640,0.887,1.000,0.000,0.000,0.333,0.00%,Mixed / neutral expected reaction,growth(1.00); quality(0.89); value(0.33),No setup history in nowcast output,Alpha rank 4 with strong factor mix (growth(1.00); quality(0.89); value(0.33)),No major metric flags
2026-04-04,INCY,0.3930,0.831,0.631,0.116,0.531,0.531,1.000,33.72%,Likely positive post-earnings drift,value(1.00); quality(0.63); alt_momentum(0.53),"n=1, hit_rate=0.00%, avg_5d=-3.66%, similar5_avg_5d=-3.66%",Alpha rank 5 with strong factor mix (value(1.00); quality(0.63); alt_momentum(0.53)),No major metric flags
