date,symbol,final_alpha_score,confidence,quality_score,growth_score,alt_momentum_score,peer_relative_score,value_score,expected_kpi_surprise,expected_stock_reaction,strongest_drivers,historical_backtest,why_now,why_risky
2026-04-01,FIX,0.6276,0.914,0.766,0.359,1.000,1.000,0.179,187.89%,Likely positive post-earnings drift,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00),Insufficient historical setups (need outcomes + historical alt data).,Alpha rank 1 with strong factor mix (alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00)),Thin FCF margin
2026-04-01,NVDA,0.4866,0.648,0.887,1.000,0.000,0.000,0.306,0.00%,Mixed / neutral expected reaction,growth(1.00); quality(0.89); value(0.31),No setup history in nowcast output,Alpha rank 2 with strong factor mix (growth(1.00); quality(0.89); value(0.31)),No major metric flags
2026-04-01,INCY,0.4337,0.886,0.631,0.116,0.516,0.516,1.000,38.96%,Likely positive post-earnings drift,value(1.00); quality(0.63); alt_momentum(0.52),Insufficient historical setups (need outcomes + historical alt data).,Alpha rank 3 with strong factor mix (value(1.00); quality(0.63); alt_momentum(0.52)),No major metric flags
2026-04-01,NEM,0.4009,0.855,0.314,0.450,0.568,0.568,0.610,48.18%,Likely positive post-earnings drift,value(0.61); alt_momentum(0.57); peer_relative(0.57),Insufficient historical setups (need outcomes + historical alt data).,Alpha rank 4 with strong factor mix (value(0.61); alt_momentum(0.57); peer_relative(0.57)),No major metric flags
2026-04-01,LRCX,0.3874,0.832,0.609,0.123,0.631,0.631,0.179,67.14%,Likely positive post-earnings drift,alt_momentum(0.63); peer_relative(0.63); quality(0.61),Insufficient historical setups (need outcomes + historical alt data).,Alpha rank 5 with strong factor mix (alt_momentum(0.63); peer_relative(0.63); quality(0.61)),No major metric flags
