ticker,report_date,realized_return_5d,simulated_return_hold,benchmark_return_hold,champion_score,champion_selected,challenger_score,challenger_selected
NVDA,2023-02-22,0.1200,0.5735,0.0106,0.3556,false,0.4292,false
NVDA,2023-05-24,0.0900,0.4116,0.0953,0.3556,false,0.4292,false
NVDA,2023-08-23,0.0700,0.3108,0.0100,0.3556,false,0.4292,false
NVDA,2023-11-21,0.1400,0.6890,0.0181,0.3556,false,0.4292,false
NVDA,2024-02-21,0.1000,0.4641,0.0424,0.3556,false,0.4292,false
NVDA,2024-05-22,0.0500,0.2155,0.0270,0.3556,false,0.4292,false
NVDA,2024-08-28,-0.0200,-0.0776,0.0045,0.3556,false,0.4292,false
NVDA,2024-11-20,0.0800,0.3605,0.0346,0.3556,false,0.4292,false
NVDA,2025-02-26,0.0600,0.2625,-0.0778,0.3556,false,0.4292,false
NVDA,2025-05-28,-0.0100,-0.0394,0.0196,0.3556,false,0.4292,false
NVDA,2025-08-27,0.0300,0.1255,0.0308,0.3556,false,0.4292,false
NVDA,2025-11-20,0.0800,0.3605,0.0716,0.3556,false,0.4292,false
AVGO,2023-03-02,0.0400,0.1699,0.0442,0.0831,false,0.1064,false
AVGO,2023-06-01,0.0300,0.1255,0.0295,0.0831,false,0.1064,false
AVGO,2023-09-01,0.0100,0.0406,-0.0509,0.0831,false,0.1064,false
AVGO,2023-12-07,0.0500,0.2155,0.0566,0.0831,false,0.1064,false
AVGO,2024-03-07,0.0300,0.1255,-0.0001,0.0831,false,0.1064,false
AVGO,2024-06-12,0.0200,0.0824,0.0287,0.0831,false,0.1064,false
AVGO,2024-09-05,-0.0100,-0.0394,0.0552,0.0831,false,0.1064,false
AVGO,2024-12-12,0.0400,0.1699,-0.0293,0.0831,false,0.1064,false
AVGO,2025-03-06,0.0100,0.0406,-0.0063,0.0831,false,0.1064,false
AVGO,2025-06-05,0.0000,0.0000,0.0324,0.0831,false,0.1064,false
AVGO,2025-09-04,0.0200,0.0824,0.0375,0.0831,false,0.1064,false
AVGO,2025-12-11,0.0300,0.1255,-0.0168,0.0831,false,0.1064,false
PLTR,2023-02-13,0.0300,0.1255,-0.0147,0.3618,false,0.4399,false
PLTR,2023-05-08,0.0400,0.1699,0.0812,0.3618,false,0.4399,false
PLTR,2023-08-07,0.0200,0.0824,-0.0225,0.3618,false,0.4399,false
PLTR,2023-11-02,-0.0100,-0.0394,0.0732,0.3618,false,0.4399,false
PLTR,2024-02-05,0.0600,0.2625,0.0189,0.3618,false,0.4399,false
PLTR,2024-05-06,0.0400,0.1699,0.0441,0.3618,false,0.4399,false
PLTR,2024-08-05,0.0100,0.0406,0.0918,0.3618,false,0.4399,false
PLTR,2024-11-04,0.0500,0.2155,0.0423,0.3618,false,0.4399,false
PLTR,2025-02-03,0.0300,0.1255,0.0034,0.3618,false,0.4399,false
PLTR,2025-05-05,0.0200,0.0824,0.0726,0.3618,false,0.4399,false
PLTR,2025-08-04,-0.0200,-0.0776,0.0110,0.3618,false,0.4399,false
PLTR,2025-11-03,0.0300,0.1255,-0.0426,0.3618,false,0.4399,false
