as_of_date,ticker,value_score,quality_score,growth_score,alt_momentum_score,peer_relative_score,proxy_inferred_score,pead_score,risk_penalty,liquidity_penalty,final_alpha_score,confidence,fundamental_confidence,value_confidence,alt_confidence,peer_confidence,proxy_confidence,structural_anomaly_penalty,valuation_context_strength,valuation_method_strength,strongest_drivers,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,asset_turnover,debt_to_ebitda,valuation_score_raw,nowcast_source_mix,nowcast_direct_source_count,nowcast_proxy_source_count,nowcast_proxy_share,expected_kpi_surprise,probability_post_earnings_outperform,deviation_vs_consensus,expected_stock_reaction,historical_backtest,pead_raw,next_earnings_date,days_to_earnings,gate_confidence,gate_leverage,gate_event_risk,eligible,gate_reason
2026-04-02,DG,0.7443182399276728,0.32507971233040894,0.3287232,0,0,0,0,0.35,0,-0.11547754967802232,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.74); growth(0.33); quality(0.33),0.041253,0.780555,0.07346,0.056018,1.37982,4.83653,0.75,none,,,,,,,,No setup history in nowcast output,,,,true,false,true,false,HIGH_LEVERAGE
2026-04-02,ROP,0.7784088003616363,0,0.2717212,0.8230560887743563,0.8230560887743563,0.7870753395654863,0,0.1483565,0,0.2579930933949916,0.8841067028985509,1,0.9840000000000001,0.6254166666666667,0.7012499999999999,0.7440500000000001,0,1,0.92,alt_momentum(0.82); peer_relative(0.82); proxy_inferred(0.79),0.137317,0.541986,0.061345,0.308206,0.228548,2.983565,0.783333,hybrid,2,2,0.5,1.3,0.9708,1.3,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-20,109,true,true,true,true,
2026-04-02,CMI,0.7662342576740324,0.29548464281285436,0.1515344,0,0,0,0,0.0932596,0,0.09648224732687394,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.77); quality(0.30); growth(0.15),0.062461,0.316375,0.163689,0.070864,0.990527,1.632596,0.771429,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,KLAC,0.3181816322314472,0.4651759179334089,0.0690536,0.4709563753977227,0.4709563753977227,0.41203869580795405,0,0,0,0.32330964257923217,0.8305022971014494,1,0.9840000000000001,0.4168833333333334,0.53165,0.7208660000000001,0,1,0.92,alt_momentum(0.47); peer_relative(0.47); quality(0.47),0.096855,0.075779,0.504199,0.307802,0.756548,1.125726,0.333333,hybrid,1,2,0.6667000000000001,0.3362,0.7831999999999999,0.3362,Likely positive post-earnings drift,"n=1, hit_rate=100.00%, avg_5d=13.18%, similar5_avg_5d=13.18%",,2026-07-29,118,true,true,true,true,
2026-04-02,PANW,0.23682880981163415,0.3489178010398442,0.1737204,0.41815456625207076,0.41815456625207076,0.37373375460082725,0,0,0,0.29054651719300517,0.8841067028985509,1,0.9840000000000001,0.6254166666666667,0.7012499999999999,0.7440500000000001,0,1,0.92,alt_momentum(0.42); peer_relative(0.42); proxy_inferred(0.37),0.187883,0.246418,0.149932,0.376273,0.391136,0.213201,0.253788,hybrid,2,2,0.5,0.3018,0.7,0.3018,Likely positive post-earnings drift,"n=1, hit_rate=0.00%, avg_5d=1.42%, similar5_avg_5d=1.42%",,,,true,true,true,true,
2026-04-02,NTAP,0.8166322007654089,0.378612262110743,0.048286,0,0,0,0,0.05929259999999999,0,0.13521885084644153,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.82); quality(0.38); growth(0.05),0.013225,0.10749,0.683426,0.203591,0.607225,2.092926,0.820707,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,NOW,0.25511414656496667,0.24995285444589863,0.2006016,0,0,0,0,0,0,0.1371310373568893,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.26); quality(0.25); growth(0.20),0.223765,0.277739,0.121119,0.341392,0.509947,0.937939,0.271667,none,,,,,,,,No setup history in nowcast output,,2026-07-21,110,true,true,true,true,
2026-04-02,MAS,0.7954545919421383,0.5553621517630454,0.0480972,0,0,0,0,0.07947890000000002,0,0.1605957241702361,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.80); quality(0.56); growth(0.05),-0.044922,0.120243,0.397678,0.11452,1.453951,2.294789,0.8,none,,,,,,,,No setup history in nowcast output,,2026-07-29,118,true,true,true,true,
2026-04-02,SCHW,0.5738633923037745,0.2212489160351626,0.4216328,0,0,0,0,0,0,0.20988276255987134,0.552209239130435,0.843265,0.9483265000000001,0,0,0,0.18,1,0.82,value(0.57); growth(0.42); quality(0.22),0.048343,1.005739,0,0.366331,0.048719,0,0.583333,none,,,,,,,,No setup history in nowcast output,,2026-07-16,105,false,true,true,false,LOW_CONFIDENCE
2026-04-02,ADP,0.6384353094465206,0.19428741851999654,0.11020159999999998,0.5118725183412658,0.5118725183412658,0.441907429725416,0,0.0012337000000000042,0,0.30263250990840085,0.8245240362318841,1,0.929,0.4168833333333334,0.53165,0.7208660000000001,0,0.78,0.92,value(0.64); alt_momentum(0.51); peer_relative(0.51),0.076137,0.199367,0.349108,0.213643,0.3853,1.512337,0.64647,hybrid,1,2,0.6667000000000001,0.364,0.8471,0.364,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-28,117,true,true,true,true,
2026-04-02,BKR,0.3766233234946992,0.20008181521355636,0.20303,0,0,0,0,0.08,0,0.056351022457130154,0.6335869565217391,1,0.929,0,0,0,0,0.78,0.92,value(0.38); growth(0.20); quality(0.20),0.094429,0.413146,0.152975,0.091479,0.6784,1.282824,0.390476,none,,,,,,,,No setup history in nowcast output,,2026-07-20,109,true,true,true,true,
2026-04-02,HPQ,1,0.5166674493094301,0,0,0,0.5664962053353311,0,0.1696916,0,0.11512830774037264,0.6906547826086957,1,0.9840000000000001,0,0,0.58753,0,1,0.92,value(1.00); proxy_inferred(0.57); quality(0.52),-0.042096,-0.088555,0.501833,0.050637,1.323829,2.396916,1,proxy_only,0,2,1,0.6768000000000001,0.9168000000000001,0.6768,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,,,true,true,true,true,
2026-04-02,BBY,0.9311428565584416,0.5135718659078545,0.0482368,0,0,0,0,0.09013170000000001,0,0.15225908545096492,0.576163043478261,0.89434,0.9184340000000001,0,0,0,0.12,0.78,0.92,value(0.93); quality(0.51); growth(0.05),-0.034335,0.120592,0.248171,0.030174,2.8419,1.601317,0.932673,none,,,,,,,,No setup history in nowcast output,,,,false,true,true,false,LOW_CONFIDENCE
2026-04-02,INTU,0.62499974431824,0.2407683820221918,0.1296252,0,0,0,0,0,0,0.1560249815778158,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.62); quality(0.24); growth(0.13),0.139534,0.184529,0.168431,0.323031,0.509524,1.155211,0.633333,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,PTC,0.5028411357179237,0.19143665541524718,0.1608952,0,0,0,0,0,0,0.13736895453390913,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.50); quality(0.19); growth(0.16),0.123154,0.279084,0.159312,0.312748,0.413957,1.208588,0.513889,none,,,,,,,,No setup history in nowcast output,,2026-07-28,117,true,true,true,true,
2026-04-02,EXPE,0.7443182399276728,0.4146912667867576,0.0476908,0,0,0,0,0.06032790000000002,0,0.13656254202519183,0.601,0.92904,0.9769040000000001,0,0,0,0.08,1,0.92,value(0.74); quality(0.41); growth(0.05),0.08088,0.038347,0.773987,0.211091,0.602527,2.103279,0.75,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,HWM,0.07024805221635176,0.2781151214116537,0.2070176,0,0,0.5025243477411159,0,0,0,0.16786170782207094,0.6906547826086957,1,0.9840000000000001,0,0,0.58753,0,1,0.92,proxy_inferred(0.50); quality(0.28); growth(0.21),0.133716,0.383828,0.221547,0.173413,0.73817,1.339867,0.090909,proxy_only,0,2,1,0.5357,0.8615,0.5357,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-29,118,true,true,true,true,
2026-04-02,EXPD,0.3693179842459126,0.7357179669509218,0,0,0,0,0,0.08,0,0.15557564950134017,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,quality(0.74); value(0.37); growth(0.00),-0.134473,-0.224326,0.484504,0.086132,2.261918,0.514362,0.383333,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,GDDY,0.9602271681301892,0.2566393610846803,0.1048888,0,0,0,0,0.1577769,0,0.030613980305882582,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.96); quality(0.26); growth(0.10),0.065647,0.196575,0.32593,0.318212,0.616199,3.077769,0.961111,none,,,,,,,,No setup history in nowcast output,,,,true,false,true,false,HIGH_LEVERAGE
