symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
NVDA,111.533808,true,5,81.472270,0.338462,1.000451,1.939052,0.701692,0.447703,0.082864,1.044172,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",4014456963072,3962486915072,33.639510,14.858294,18.590784,29.742000,18.350000,0.024082,""
DECK,89.671498,false,5,61.443362,0.685678,0.165343,0.991492,1.017045,0.192224,0.222021,1.396431,CONSUMER CYCLICAL,"FOOTWEAR & ACCESSORIES",enterprise_multiples,"sector:CONSUMER CYCLICAL",13841386496,11737124864,13.490057,12.969649,2.575282,8.630000,2.184000,0.069238,""
APP,89.447315,true,5,61.279726,0.180632,0.248381,1.122899,1.129598,0.719391,0.815503,0.754960,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",125746298880,126674698240,37.022884,18.366520,22.943403,29.631000,23.113000,0.031355,""
ANET,86.150942,true,5,58.110942,0.170000,0.271465,1.117048,0.306069,0.472190,0.000000,0.463051,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",146240782336,135269244928,42.229090,27.218200,16.238691,34.431000,15.020000,0.029078,""
PLTR,83.873298,true,5,57.539965,0.027778,0.329171,1.252871,0.225135,0.469359,0.159245,0.502837,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",328974991360,322128019456,,73.658960,73.506645,,,0.006385,""
NEM,83.411202,true,5,49.334009,0.673099,0.239118,0.885436,0.225249,0.321982,0.412655,0.396859,BASIC MATERIALS,"GOLD",enterprise_multiples,"sector:BASIC MATERIALS",112181592064,109813587968,16.137716,9.378800,4.948678,7.931000,4.844000,0.065064,""
IBKR,81.896617,true,5,50.896617,0.416667,0.345979,0.592407,19.151210,1.540207,0.002139,0.050295,FINANCIAL SERVICES,"CAPITAL MARKETS",financial_multiples,"industry:CAPITAL MARKETS",108285116416,-36571934720,28.689188,23.251312,17.440025,,,0.145394,""
FIX,81.023458,true,5,52.623458,0.200000,0.300251,0.597146,0.532387,0.113326,0.332302,1.413042,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",44907544576,44177321984,44.054672,28.741333,4.934005,30.371000,4.854000,0.022968,""
RMD,75.569462,false,5,51.169462,0.366667,0.128792,1.037748,0.251144,0.320801,0.442913,0.629567,HEALTHCARE,"MEDICAL INSTRUMENTS & SUPPLIES",enterprise_multiples,"industry:MEDICAL INSTRUMENTS & SUPPLIES",32116961280,31484270592,21.785147,18.067856,5.949658,15.548000,5.832000,0.051404,""
UBER,74.494508,false,5,45.095907,0.783217,0.177306,1.925317,0.137317,0.187689,1.913815,0.841672,TECHNOLOGY,"SOFTWARE - APPLICATION",enterprise_multiples,"industry:SOFTWARE - APPLICATION",143882895360,149593882624,14.780128,16.283283,2.766074,23.700000,2.876000,0.067854,""
DELL,73.175514,false,5,47.276952,0.740000,0.035350,1.478052,0.394336,0.075323,2.745359,1.120964,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",109118472192,127055937536,18.970045,11.378187,0.961075,11.090000,1.119000,0.078374,""
DHI,68.966143,false,5,40.966143,0.666667,0.007612,0.994889,0.124103,0.095867,1.332693,0.965583,CONSUMER CYCLICAL,"RESIDENTIAL CONSTRUCTION",enterprise_multiples,"industry:RESIDENTIAL CONSTRUCTION",38579425280,42064191488,12.059145,10.762320,1.150790,9.419000,1.255000,0.085110,""
NFLX,68.621026,false,5,47.521026,0.091667,0.126397,0.801384,0.358901,0.209394,0.480778,0.812688,COMMUNICATION SERVICES,"ENTERTAINMENT",enterprise_multiples,"industry:ENTERTAINMENT",394368483328,400447897600,36.747036,24.127308,8.728242,29.315000,8.863000,0.023990,""
XYZ,67.282709,false,5,40.424496,0.780000,0.113338,6.810920,0.118542,0.100219,2.625447,0.611726,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",34655133696,35906318336,27.157143,12.069024,1.432404,17.342000,1.484000,0.069966,""
EME,67.082763,false,5,39.082763,0.666667,0.153200,0.383985,0.382697,0.070016,0.266792,1.828188,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",31385346048,30585407488,24.879347,22.207476,1.847673,17.333000,1.801000,0.037894,""
DASH,66.493913,false,5,45.148816,0.190443,0.277257,3.430239,0.080447,0.133119,2.235054,0.697747,CONSUMER CYCLICAL,"INTERNET RETAIL",enterprise_multiples,"sector:CONSUMER CYCLICAL",64299446272,62096445440,69.488260,19.368168,4.687573,50.982000,4.527000,0.028398,""
JBL,66.261360,false,5,37.258054,0.750275,-0.038029,0.639389,0.358756,0.039326,1.595261,1.607183,TECHNOLOGY,"ELECTRONIC COMPONENTS",enterprise_multiples,"sector:TECHNOLOGY",26436546560,28796880896,33.353100,16.990637,0.809274,12.115000,0.882000,0.044333,""
CTVA,66.224923,false,5,39.726678,0.541520,-0.001032,1.192750,0.084135,0.161772,0.675039,0.406138,BASIC MATERIALS,"AGRICULTURAL INPUTS",enterprise_multiples,"sector:BASIC MATERIALS",55785865216,54492864512,47.399998,20.497726,3.205900,14.344000,3.132000,0.050461,""
INCY,65.214330,false,5,33.214330,1.000000,0.148396,0.142276,0.491915,0.258621,0.028141,0.738899,HEALTHCARE,"BIOTECHNOLOGY",enterprise_multiples,"industry:BIOTECHNOLOGY",17976977408,14451294208,14.092044,10.444308,3.496622,10.037000,2.811000,0.073963,""
LULU,64.880889,false,5,34.900634,0.831688,0.191681,0.167671,0.450520,0.149553,0.533765,1.392571,CONSUMER CYCLICAL,"APPAREL RETAIL",enterprise_multiples,"sector:CONSUMER CYCLICAL",17107480576,16848987136,10.997738,10.992300,1.540854,6.225000,1.518000,0.092561,""
EFX,62.647876,false,5,38.316621,0.626035,0.058485,1.045164,0.085390,0.186731,2.795291,0.512002,INDUSTRIALS,"CONSULTING SERVICES",enterprise_multiples,"sector:INDUSTRIALS",21400578048,26531196928,33.345863,17.132051,3.523019,14.198000,4.368000,0.053003,""
DIS,61.839955,false,5,36.643160,0.547222,0.045094,1.113760,0.073312,0.106720,2.342468,0.478067,COMMUNICATION SERVICES,"ENTERTAINMENT",enterprise_multiples,"industry:ENTERTAINMENT",167265861632,213583757312,13.891016,12.843434,1.747523,11.063000,2.231000,0.060245,""
MPWR,59.754848,false,5,38.093310,0.138462,0.158615,0.522787,0.240980,0.237689,0.025567,0.665314,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",49232936960,48000495616,78.124710,38.782593,17.643312,61.449000,17.202000,0.013472,""
DXCM,59.450030,false,5,34.650030,0.400000,0.170136,0.523379,0.217608,0.231060,1.194311,0.735343,HEALTHCARE,"MEDICAL DEVICES",enterprise_multiples,"industry:MEDICAL DEVICES",24142006272,23220834304,29.617228,20.712387,5.178465,19.956000,4.981000,0.044619,""
IDXX,58.911769,false,5,38.645102,0.022222,0.085223,0.395328,0.453084,0.242484,0.648454,1.284396,HEALTHCARE,"DIAGNOSTICS & RESEARCH",enterprise_multiples,"industry:DIAGNOSTICS & RESEARCH",44357754880,45154189312,42.558445,33.923046,10.306884,29.999000,10.492000,0.023526,""
GRMN,58.802020,false,5,31.602020,0.600000,0.142359,0.358200,0.225936,0.188104,0.079830,0.659063,TECHNOLOGY,"SCIENTIFIC & TECHNICAL INSTRUMENTS",enterprise_multiples,"industry:SCIENTIFIC & TECHNICAL INSTRUMENTS",43500666880,40958808064,26.309662,22.221350,6.003803,19.836000,5.653000,0.031331,""
TTD,58.633963,true,5,26.216572,0.534783,0.224419,0.196709,0.175295,0.270332,0.618816,0.470694,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",10476255232,9609527296,24.455557,9.237576,3.617137,13.925000,3.318000,0.074736,""
CBOE,58.303996,false,5,29.375425,0.744048,0.059967,0.416788,0.235545,0.356710,0.972013,0.506615,FINANCIAL SERVICES,"FINANCIAL DATA & STOCK EXCHANGES",financial_multiples,"industry:FINANCIAL DATA & STOCK EXCHANGES",29547689984,28921589760,27.092129,22.146595,6.267806,17.707000,6.135000,0.056911,""
COR,58.216831,false,5,28.616831,0.800000,0.104340,0.132714,0.567432,0.009981,1.531530,4.195487,HEALTHCARE,"MEDICAL DISTRIBUTION",enterprise_multiples,"industry:MEDICAL DISTRIBUTION",60290895872,68630622208,37.161870,15.783049,0.185068,13.832000,0.211000,0.053194,""
ADBE,57.800476,false,5,30.600476,0.600000,0.105223,0.100295,0.555991,0.414489,0.698026,0.805800,TECHNOLOGY,"TECHNOLOGY",enterprise_multiples,"industry:TECHNOLOGY",97464747423,97235746816,13.169000,13.313100,3.881800,10.218000,3.976000,0.100230,""
LII,57.204830,false,5,31.444830,0.480000,0.032615,0.469757,0.293484,0.122957,1.519001,1.272796,INDUSTRIALS,"BUILDING PRODUCTS & EQUIPMENT",enterprise_multiples,"industry:BUILDING PRODUCTS & EQUIPMENT",15571964928,17188145152,19.490341,16.688253,2.997318,14.884000,3.308000,0.041022,""
UHS,56.741747,false,5,25.907628,0.902843,0.090257,0.465412,0.124135,0.047484,1.977414,1.118321,HEALTHCARE,"MEDICAL CARE FACILITIES",enterprise_multiples,"sector:HEALTHCARE",11123877888,16286198784,7.879706,7.119714,0.640598,6.233000,0.938000,0.074124,""
PHM,56.597567,false,5,28.597567,0.666667,0.026554,0.465268,0.170637,0.101001,0.743000,0.959195,CONSUMER CYCLICAL,"RESIDENTIAL CONSTRUCTION",enterprise_multiples,"industry:RESIDENTIAL CONSTRUCTION",21850339328,22286864384,10.226619,10.068868,1.262153,6.987000,1.287000,0.080023,""
MNST,56.328184,false,5,35.528184,0.066667,0.095368,0.421556,0.301159,0.233972,0.000000,0.830352,CONSUMER DEFENSIVE,"BEVERAGES - NON-ALCOHOLIC",enterprise_multiples,"industry:BEVERAGES - NON-ALCOHOLIC",69770264576,67071074304,36.762886,27.965885,8.411789,25.229000,8.086000,0.027815,""
LRCX,56.040926,false,5,32.840926,0.266667,0.022858,0.284660,0.666833,0.293675,0.713270,0.863685,TECHNOLOGY,"SEMICONDUCTOR EQUIPMENT & MATERIALS",enterprise_multiples,"industry:SEMICONDUCTOR EQUIPMENT & MATERIALS",251118059520,247970086912,40.969260,28.960838,12.213597,33.767000,12.060000,0.021560,""
AOS,55.944556,false,5,26.232996,0.809297,0.006730,0.193578,0.296541,0.142551,0.236256,1.218700,INDUSTRIALS,"BUILDING",enterprise_multiples,"sector:INDUSTRIALS",8806301652,8817001472,16.143100,16.143100,2.302100,10.844000,2.302000,0.062001,""
JBHT,55.830068,false,5,32.430068,0.283333,-0.067837,0.589215,0.129969,0.078971,0.928438,1.513670,INDUSTRIALS,"INTEGRATED FREIGHT & LOGISTICS",enterprise_multiples,"industry:INTEGRATED FREIGHT & LOGISTICS",19497861120,21075290112,33.459152,23.309845,1.624944,13.340000,1.756000,0.048599,""
AVGO,55.807629,true,5,22.976860,0.569231,0.243784,0.181654,0.158152,0.421275,1.869039,0.373407,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",1391137128448,149970518016,57.194930,16.447145,20.373410,4.030000,2.196000,0.019347,""
QCOM,55.519090,false,5,25.180629,0.861538,0.000633,0.233306,0.321056,0.289495,1.058231,0.883154,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",135716495360,138578690048,25.618952,11.458732,3.024862,10.068000,3.089000,0.094462,""
FFIV,54.676353,false,5,27.749081,0.577273,0.046319,0.303759,0.270274,0.293518,0.296200,0.488658,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",15891767296,14878119936,23.137304,16.658102,5.054556,16.840000,4.732000,0.057036,""
META,54.540252,false,5,30.171872,0.364032,0.198938,0.337084,0.220869,0.229437,0.823391,0.549056,COMMUNICATION SERVICES,"INTERNET CONTENT & INFORMATION",enterprise_multiples,"sector:COMMUNICATION SERVICES",1356802949120,1360291954688,22.834398,14.949275,6.751406,13.350000,6.769000,0.033984,""
TKO,54.142344,false,5,34.814392,0.283333,0.607401,0.332914,0.105196,0.244717,3.018012,0.305576,COMMUNICATION SERVICES,"ENTERTAINMENT",enterprise_multiples,"industry:ENTERTAINMENT",15422218240,23980036096,86.083700,52.251038,3.256964,17.430000,5.064000,0.075137,""
MA,53.535004,false,5,32.201670,0.111111,0.138220,0.176234,0.972242,0.501144,0.919785,0.605480,FINANCIAL SERVICES,"CREDIT SERVICES",financial_multiples,"industry:CREDIT SERVICES",440864210944,449499267072,29.939394,21.805832,13.444672,21.880000,13.708000,0.037275,""
APTV,53.086494,false,5,25.449792,0.866667,0.052626,0.539564,0.103135,0.074958,2.690824,0.871225,CONSUMER CYCLICAL,"AUTO PARTS",enterprise_multiples,"industry:AUTO PARTS",14203738112,20712552448,88.853330,7.157126,0.696330,6.493000,1.015000,0.107648,""
CL,53.024319,false,5,28.224319,0.400000,0.042935,0.250136,0.427423,0.178295,1.758997,1.248132,CONSUMER DEFENSIVE,"HOUSEHOLD & PERSONAL PRODUCTS",enterprise_multiples,"industry:HOUSEHOLD & PERSONAL PRODUCTS",68781342720,76186714112,32.596960,20.686745,3.374612,15.651000,3.738000,0.052834,""
BSX,52.605863,false,5,27.973760,0.433333,0.165419,0.550057,0.100621,0.169573,2.141974,0.459643,HEALTHCARE,"MEDICAL DEVICES",enterprise_multiples,"industry:MEDICAL DEVICES",93525000192,103626915840,32.438145,16.100847,4.659011,19.409000,5.162000,0.036397,""
CRM,52.410953,false,5,22.185779,0.852098,0.098200,0.316424,0.101460,0.346827,1.368824,0.369752,TECHNOLOGY,"SOFTWARE - APPLICATION",enterprise_multiples,"industry:SOFTWARE - APPLICATION",173373112320,178928697344,23.691422,12.415471,4.175150,14.260000,4.309000,0.083069,""
APH,52.367291,false,5,28.641795,0.393288,0.223066,0.347140,0.258130,0.189572,2.248492,0.637325,TECHNOLOGY,"ELECTRONIC COMPONENTS",enterprise_multiples,"sector:TECHNOLOGY",146460966912,151191060480,35.673653,23.083035,6.341757,21.689000,6.547000,0.029893,""
COST,52.295644,false,5,31.495644,0.066667,0.066404,0.308135,0.335557,0.028474,0.638067,3.569891,CONSUMER DEFENSIVE,"DISCOUNT STORES",enterprise_multiples,"industry:DISCOUNT STORES",442351386624,432230236160,51.824234,44.408577,1.545251,32.112000,1.510000,0.017717,""
