symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
NVDA,111.072270,true,5,81.472270,0.300000,1.000451,1.939052,0.701692,0.447703,0.082864,1.044172,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",4258235940864,4206216085504,35.682280,15.760569,19.719715,31.571000,19.479000,0.022703,""
DECK,89.247410,false,5,61.443362,0.650337,0.165343,0.991492,1.017045,0.192224,0.222021,1.396431,CONSUMER CYCLICAL,"FOOTWEAR & ACCESSORIES",enterprise_multiples,"sector:CONSUMER CYCLICAL",14777068544,12648443904,14.401989,13.846363,2.749372,9.301000,2.353000,0.064854,""
APP,89.029199,true,5,61.279726,0.145789,0.248381,1.122899,1.129598,0.719391,0.815503,0.754960,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",147317964800,148203143168,43.460620,21.517280,26.879324,34.667000,27.041000,0.026764,""
ANET,85.790942,true,5,58.110942,0.140000,0.271465,1.117048,0.306069,0.472190,0.000000,0.463051,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",164714496000,153634258944,47.563637,30.681396,18.290028,39.106000,17.060000,0.025817,""
PLTR,83.873298,true,5,57.539965,0.027778,0.329171,1.252871,0.225135,0.469359,0.159245,0.502837,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",370183569408,363336597504,,82.885735,82.714350,,,0.005674,""
NEM,82.834009,true,5,49.334009,0.625000,0.239118,0.885436,0.225249,0.321982,0.412655,0.396859,BASIC MATERIALS,"GOLD",enterprise_multiples,"sector:BASIC MATERIALS",108056854528,105353306112,15.496087,8.901050,4.766723,7.609000,4.647000,0.067548,""
IBKR,81.896617,true,5,50.896617,0.416667,0.345979,0.592407,19.151210,1.540207,0.002139,0.050295,FINANCIAL SERVICES,"CAPITAL MARKETS",financial_multiples,"industry:CAPITAL MARKETS",112416587776,-35489517568,29.783785,24.138435,18.105425,,,0.140051,""
FIX,81.023458,true,5,52.623458,0.200000,0.300251,0.597146,0.532387,0.113326,0.332302,1.413042,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",51550662656,50791251968,50.501728,32.993004,5.663887,34.918000,5.580000,0.020009,""
UBER,80.725873,false,5,54.163116,0.546896,0.177306,1.925317,16.270000,0.187689,1.913815,0.841700,ROAD & RAIL,"ROAD & RAIL",enterprise_multiples,"global",148884,154595115008,14.809900,14.809900,2.862200,24.492000,2.972000,0.064952,""
RMD,75.283747,false,5,51.169462,0.342857,0.128792,1.037748,0.251144,0.320801,0.442913,0.629567,HEALTHCARE,"MEDICAL INSTRUMENTS & SUPPLIES",enterprise_multiples,"industry:MEDICAL INSTRUMENTS & SUPPLIES",33308047360,32673005568,22.570723,18.737919,6.170306,16.135000,6.053000,0.049566,""
