symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
NVDA,111.472270,true,5,81.472270,0.333333,1.000451,1.939052,0.701692,0.447703,0.082864,1.044172,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",4311464017920,4259432890368,36.202040,15.957576,19.966211,31.971000,19.725000,0.022423,""
DECK,89.559199,false,5,61.443362,0.676320,0.165343,0.991492,1.017045,0.192224,0.222021,1.396431,CONSUMER CYCLICAL,"FOOTWEAR & ACCESSORIES",enterprise_multiples,"sector:CONSUMER CYCLICAL",14328173568,12211237888,13.964488,13.425778,2.665852,8.979000,2.272000,0.066886,""
APP,89.442572,true,5,61.279726,0.180237,0.248381,1.122899,1.129598,0.719391,0.815503,0.754960,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",130575671296,131494395904,38.444775,19.071900,23.824560,30.759000,23.992000,0.030195,""
ANET,85.550942,true,5,58.110942,0.120000,0.271465,1.117048,0.306069,0.472190,0.000000,0.463051,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",159526240256,148525727744,46.065456,29.635035,17.713919,37.805000,16.492000,0.026656,""
PLTR,83.873298,true,5,57.539965,0.027778,0.329171,1.252871,0.225135,0.469359,0.159245,0.502837,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",355068182528,348221210624,,79.756744,79.336945,,,0.005916,""
NEM,82.772605,true,5,49.334009,0.619883,0.239118,0.885436,0.225249,0.321982,0.412655,0.396859,BASIC MATERIALS,"GOLD",enterprise_multiples,"sector:BASIC MATERIALS",124072050688,121704054784,17.848202,10.516736,5.473203,8.790000,5.369000,0.058829,""
IBKR,81.896617,true,5,50.896617,0.416667,0.345979,0.592407,19.151210,1.540207,0.002139,0.050295,FINANCIAL SERVICES,"CAPITAL MARKETS",financial_multiples,"industry:CAPITAL MARKETS",115170893824,-34767904768,30.513512,24.581240,18.549025,,,0.136701,""
FIX,81.023458,true,5,52.623458,0.200000,0.300251,0.597146,0.532387,0.113326,0.332302,1.413042,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",49987055616,51811659776,49.020752,31.992275,5.492093,35.620000,5.693000,0.020634,""
RMD,74.769462,false,5,51.169462,0.300000,0.128792,1.037748,0.251144,0.320801,0.442913,0.629567,HEALTHCARE,"MEDICAL INSTRUMENTS & SUPPLIES",enterprise_multiples,"industry:MEDICAL INSTRUMENTS & SUPPLIES",32709584896,32075724800,22.165184,18.401245,6.059442,15.840000,5.942000,0.050473,""
UBER,74.403599,false,5,45.095907,0.775641,0.177306,1.925317,0.137317,0.187689,1.913815,0.841672,TECHNOLOGY,"SOFTWARE - APPLICATION",enterprise_multiples,"industry:SOFTWARE - APPLICATION",147855048704,153566052352,15.188160,16.732813,2.842437,24.329000,2.952000,0.066031,""
DELL,71.495514,false,5,47.276952,0.600000,0.035350,1.478052,0.394336,0.075323,2.745359,1.120964,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",115553181696,133326159872,20.088709,12.025799,1.017749,11.637000,1.174000,0.074009,""
NFLX,68.606741,false,5,47.521026,0.090476,0.126397,0.801384,0.358901,0.209394,0.480778,0.812688,COMMUNICATION SERVICES,"ENTERTAINMENT",enterprise_multiples,"industry:ENTERTAINMENT",418504835072,424471986176,38.996048,25.603962,9.262432,31.074000,9.394000,0.022607,""
JBL,67.658054,false,5,37.258054,0.866667,-0.038029,0.639389,0.358756,0.039326,1.595261,1.607183,TECHNOLOGY,"ELECTRONIC COMPONENTS",enterprise_multiples,"industry:ELECTRONIC COMPONENTS",28687304704,31030300672,36.241566,18.437187,0.878174,13.054000,0.950000,0.040854,""
XYZ,67.389375,false,5,40.424496,0.788889,0.113338,6.810920,0.118542,0.100219,2.625447,0.611726,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",36326215680,37553831936,28.466667,12.629587,1.501475,18.138000,1.552000,0.066747,""
DHI,67.366143,false,5,40.966143,0.533333,0.007612,0.994889,0.124103,0.095867,1.332693,0.965583,CONSUMER CYCLICAL,"RESIDENTIAL CONSTRUCTION",enterprise_multiples,"industry:RESIDENTIAL CONSTRUCTION",40663695360,44138467328,12.710647,11.343760,1.212962,9.883000,1.317000,0.080748,""
DIS,67.273451,false,5,36.643323,1.000000,0.045094,1.113760,0.073312,0.106720,2.342468,0.478100,COMMUNICATION SERVICES,"MEDIA",enterprise_multiples,"industry:MEDIA",171146547200,217640534016,13.968900,13.797700,1.788100,11.273000,2.274000,0.058817,""
EME,67.082763,false,5,39.082763,0.666667,0.153200,0.383985,0.382697,0.070016,0.266792,1.828188,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",33856421888,33043605504,26.809643,24.174131,1.993146,18.726000,1.945000,0.035128,""
DASH,66.250001,false,5,45.148816,0.170117,0.277257,3.430239,0.080447,0.133119,2.235054,0.697747,CONSUMER CYCLICAL,"INTERNET RETAIL",enterprise_multiples,"sector:CONSUMER CYCLICAL",67966005248,65763004416,73.450700,20.483915,4.954874,53.993000,4.794000,0.026866,""
CTVA,65.972292,false,5,39.726678,0.520468,-0.001032,1.192750,0.084135,0.161772,0.675039,0.406138,BASIC MATERIALS,"AGRICULTURAL INPUTS",enterprise_multiples,"sector:BASIC MATERIALS",57473904640,56180899840,48.834286,21.129093,3.302908,14.788000,3.229000,0.048979,""
