company,ticker,strongest_drivers,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
GAU,GAU,yoy_mean (458.83%); accel_mean (99.27%); market_volume_proxy_yoy (94.73%),0.383,proxy_only,0,2,100.00%,659.99%,Likely positive post-earnings drift,99.00%,6.5999,Insufficient historical setups (need outcomes + historical alt data).,
FIX,FIX,yoy_mean (72.14%); relative_strength_mean (40.68%); market_price_proxy_yoy (24.02%),0.559,proxy_only,0,2,100.00%,138.53%,Likely positive post-earnings drift,99.00%,1.3853,Insufficient historical setups (need outcomes + historical alt data).,
TSM,TSM,yoy_mean (39.91%); relative_strength_mean (13.27%); accel_mean (12.04%),0.559,proxy_only,0,2,100.00%,75.81%,Likely positive post-earnings drift,95.78%,0.7581,Insufficient historical setups (need outcomes + historical alt data).,
TTD,TTD,yoy_mean (-25.01%); relative_strength_mean (-23.22%); market_price_proxy_yoy (-3.95%),0.559,proxy_only,0,2,100.00%,-53.85%,Likely negative post-earnings drift,18.46%,-0.5385,Insufficient historical setups (need outcomes + historical alt data).,
ATI,ATI,yoy_mean (58.24%); market_price_proxy_yoy (14.06%); market_volume_proxy_yoy (2.16%),0.383,proxy_only,0,2,100.00%,74.65%,Likely positive post-earnings drift,87.37%,0.7465,Insufficient historical setups (need outcomes + historical alt data).,
AVGO,AVGO,yoy_mean (27.18%); relative_strength_mean (9.20%); market_price_proxy_yoy (5.18%),0.559,proxy_only,0,2,100.00%,48.70%,Likely positive post-earnings drift,88.84%,0.4870,Insufficient historical setups (need outcomes + historical alt data).,
NEM,NEM,yoy_mean (34.32%); market_price_proxy_yoy (10.96%); relative_strength_mean (4.68%),0.559,proxy_only,0,2,100.00%,46.96%,Likely positive post-earnings drift,82.50%,0.4696,Insufficient historical setups (need outcomes + historical alt data).,
BACHY,BACHY,accel_mean (-34.62%); yoy_mean (-26.46%); market_volume_proxy_yoy (-5.64%),0.383,proxy_only,0,2,100.00%,-66.90%,Likely negative post-earnings drift,6.03%,-0.6690,Insufficient historical setups (need outcomes + historical alt data).,
XOVR,XOVR,yoy_mean (40.42%); accel_mean (13.09%); market_volume_proxy_yoy (8.51%),0.383,proxy_only,0,2,100.00%,62.43%,Likely positive post-earnings drift,90.42%,0.6243,Insufficient historical setups (need outcomes + historical alt data).,
INDA,INDA,yoy_mean (38.05%); market_volume_proxy_yoy (8.41%); accel_mean (6.57%),0.383,proxy_only,0,2,100.00%,52.89%,Likely positive post-earnings drift,85.10%,0.5289,Insufficient historical setups (need outcomes + historical alt data).,
EEM,EEM,yoy_mean (36.74%); market_volume_proxy_yoy (6.37%); accel_mean (3.12%),0.383,proxy_only,0,2,100.00%,48.42%,Likely positive post-earnings drift,81.58%,0.4842,Insufficient historical setups (need outcomes + historical alt data).,
LIT,LIT,yoy_mean (32.15%); accel_mean (6.93%); market_price_proxy_yoy (5.79%),0.383,proxy_only,0,2,100.00%,47.55%,Likely positive post-earnings drift,83.77%,0.4755,Insufficient historical setups (need outcomes + historical alt data).,
BHP,BHP,yoy_mean (35.42%); market_volume_proxy_yoy (5.39%); market_price_proxy_yoy (3.12%),0.383,proxy_only,0,2,100.00%,46.81%,Likely positive post-earnings drift,80.88%,0.4681,Insufficient historical setups (need outcomes + historical alt data).,
BTU,BTU,yoy_mean (33.49%); market_price_proxy_yoy (12.77%); market_volume_proxy_yoy (-2.27%),0.383,proxy_only,0,2,100.00%,45.12%,Likely positive post-earnings drift,79.02%,0.4512,Insufficient historical setups (need outcomes + historical alt data).,
GOLD,GOLD,yoy_mean (48.20%); accel_mean (-19.21%); market_volume_proxy_yoy (6.25%),0.383,proxy_only,0,2,100.00%,40.92%,Mixed / neutral expected reaction,57.90%,0.4092,Insufficient historical setups (need outcomes + historical alt data).,
XME,XME,yoy_mean (33.90%); market_price_proxy_yoy (7.12%); accel_mean (-2.18%),0.383,proxy_only,0,2,100.00%,40.90%,Likely positive post-earnings drift,74.74%,0.4090,Insufficient historical setups (need outcomes + historical alt data).,
AMD,AMD,yoy_mean (28.34%); market_price_proxy_yoy (7.32%); accel_mean (3.93%),0.383,proxy_only,0,2,100.00%,40.28%,Likely positive post-earnings drift,79.35%,0.4028,Insufficient historical setups (need outcomes + historical alt data).,
SEELQ,SEELQ,yoy_mean (-25.16%); market_price_proxy_yoy (-6.40%); accel_mean (-2.67%),0.383,proxy_only,0,2,100.00%,-34.92%,Mixed / neutral expected reaction,35.31%,-0.3492,Insufficient historical setups (need outcomes + historical alt data).,
AEM,AEM,yoy_mean (24.83%); market_price_proxy_yoy (8.03%); accel_mean (0.66%),0.383,proxy_only,0,2,100.00%,32.91%,Likely positive post-earnings drift,73.82%,0.3291,Insufficient historical setups (need outcomes + historical alt data).,
AAPL,AAPL,relative_strength_mean (-8.94%); accel_mean (-6.36%); yoy_mean (-5.89%),0.559,proxy_only,0,2,100.00%,-22.13%,Likely negative post-earnings drift,34.95%,-0.2213,Insufficient historical setups (need outcomes + historical alt data).,
