company,ticker,strongest_drivers,source_provenance_summary,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,search_trends_provenance,news_mentions_yoy,news_mentions_provenance,price_promo_yoy,price_promo_provenance,foot_traffic_yoy,foot_traffic_provenance,website_traffic_provenance,app_rank_provenance,market_price_proxy_yoy,market_price_proxy_provenance,market_volume_proxy_yoy,market_volume_proxy_provenance,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
FIX,FIX,yoy_mean (119.08%); news_mentions_yoy (72.00%); relative_strength_mean (53.39%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.775,hybrid,2,2,50.00%,,,189.66%,wikimedia,400.00%,none,,local_csv,,local_csv,local_csv,local_csv,322.88%,market_proxy,-46.49%,market_proxy,301.85%,Likely positive post-earnings drift,99.00%,3.0185,Insufficient historical setups (need outcomes + historical alt data).,
CRM,CRM,yoy_mean (50.39%); accel_mean (17.13%); market_volume_proxy_yoy (15.41%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,52.88%,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,-34.87%,market_proxy,256.84%,market_proxy,88.08%,Likely positive post-earnings drift,95.80%,0.8808,Insufficient historical setups (need outcomes + historical alt data).,
DELL,DELL,yoy_mean (70.16%); accel_mean (25.31%); market_volume_proxy_yoy (10.28%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,83.78%,market_proxy,171.33%,market_proxy,112.45%,Likely positive post-earnings drift,97.98%,1.1245,Insufficient historical setups (need outcomes + historical alt data).,
ROP,ROP,yoy_mean (69.54%); market_volume_proxy_yoy (17.61%); accel_mean (15.15%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,-40.63%,market_proxy,293.49%,market_proxy,99.04%,Likely positive post-earnings drift,95.81%,0.9904,Insufficient historical setups (need outcomes + historical alt data).,
CLMT,CLMT,yoy_mean (39.71%); accel_mean (11.60%); market_price_proxy_yoy (11.13%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,139.17%,market_proxy,77.44%,market_proxy,67.09%,Likely positive post-earnings drift,91.81%,0.6709,Insufficient historical setups (need outcomes + historical alt data).,
ATI,ATI,yoy_mean (68.01%); market_price_proxy_yoy (14.16%); market_volume_proxy_yoy (4.22%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,177.02%,market_proxy,70.28%,market_proxy,86.77%,Likely positive post-earnings drift,89.99%,0.8677,Insufficient historical setups (need outcomes + historical alt data).,
LRCX,LRCX,yoy_mean (58.88%); market_price_proxy_yoy (17.09%); accel_mean (2.81%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,213.69%,market_proxy,0.42%,market_proxy,78.81%,Likely positive post-earnings drift,89.38%,0.7881,Insufficient historical setups (need outcomes + historical alt data).,
GOLD,GOLD,yoy_mean (34.60%); market_volume_proxy_yoy (16.53%); search_trends_yoy (-12.23%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-81.52%,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,57.67%,market_proxy,275.47%,market_proxy,50.08%,Likely positive post-earnings drift,86.67%,0.5008,Insufficient historical setups (need outcomes + historical alt data).,
BACHY,BACHY,yoy_mean (-26.70%); accel_mean (-13.09%); news_mentions_yoy (-9.00%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,-50.00%,none,,local_csv,,local_csv,local_csv,local_csv,1.02%,market_proxy,-96.64%,market_proxy,-54.50%,Likely negative post-earnings drift,20.27%,-0.5450,Insufficient historical setups (need outcomes + historical alt data).,
EFX,EFX,yoy_mean (52.01%); market_volume_proxy_yoy (13.14%); accel_mean (9.56%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,-29.88%,market_proxy,219.00%,market_proxy,72.32%,Likely positive post-earnings drift,90.82%,0.7232,Insufficient historical setups (need outcomes + historical alt data).,
DAL,DAL,yoy_mean (40.55%); accel_mean (14.55%); market_volume_proxy_yoy (6.53%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,38.65%,market_proxy,108.80%,market_proxy,64.72%,Likely positive post-earnings drift,91.28%,0.6472,Insufficient historical setups (need outcomes + historical alt data).,
OTGLY,OTGLY,accel_mean (-25.82%); yoy_mean (-14.35%); market_volume_proxy_yoy (-5.75%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,17.54%,market_proxy,-95.79%,market_proxy,-44.51%,Likely negative post-earnings drift,15.15%,-0.4451,Insufficient historical setups (need outcomes + historical alt data).,
AEM,AEM,yoy_mean (45.16%); market_price_proxy_yoy (6.01%); market_volume_proxy_yoy (5.34%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,75.17%,market_proxy,89.04%,market_proxy,60.22%,Likely positive post-earnings drift,85.34%,0.6022,Insufficient historical setups (need outcomes + historical alt data).,
NEM,NEM,yoy_mean (25.50%); market_price_proxy_yoy (8.72%); accel_mean (-4.11%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.719,hybrid,1,2,66.67%,,,-6.80%,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,108.95%,market_proxy,36.95%,market_proxy,29.61%,Likely positive post-earnings drift,73.64%,0.2961,Insufficient historical setups (need outcomes + historical alt data).,
COR,COR,yoy_mean (33.81%); accel_mean (12.78%); market_volume_proxy_yoy (6.14%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,20.59%,market_proxy,102.37%,market_proxy,54.38%,Likely positive post-earnings drift,88.51%,0.5438,Insufficient historical setups (need outcomes + historical alt data).,
TTD,TTD,yoy_mean (20.28%); market_volume_proxy_yoy (11.47%); relative_strength_mean (11.22%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.719,hybrid,1,2,66.67%,,,-18.55%,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,-62.01%,market_proxy,191.18%,market_proxy,27.26%,Likely positive post-earnings drift,77.64%,0.2726,Insufficient historical setups (need outcomes + historical alt data).,
