company,ticker,strongest_drivers,source_provenance_summary,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,search_trends_provenance,news_mentions_yoy,news_mentions_provenance,price_promo_yoy,price_promo_provenance,foot_traffic_yoy,foot_traffic_provenance,website_traffic_provenance,app_rank_provenance,market_price_proxy_yoy,market_price_proxy_provenance,market_volume_proxy_yoy,market_volume_proxy_provenance,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
GAU,GAU,yoy_mean (312.60%); accel_mean (66.18%); market_volume_proxy_yoy (63.76%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,74.05%,market_proxy,1062.67%,market_proxy,448.46%,Likely positive post-earnings drift,99.00%,4.4846,Insufficient historical setups (need outcomes + historical alt data).,
FIX,FIX,yoy_mean (87.74%); relative_strength_mean (55.19%); search_trends_yoy (25.31%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.719,hybrid,1,2,66.67%,,,168.75%,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,304.89%,market_proxy,4.96%,market_proxy,198.95%,Likely positive post-earnings drift,99.00%,1.9895,Insufficient historical setups (need outcomes + historical alt data).,
NEM,NEM,yoy_mean (61.46%); relative_strength_mean (18.75%); accel_mean (15.53%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.719,hybrid,1,2,66.67%,,,-17.21%,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,107.71%,market_proxy,244.76%,market_proxy,116.47%,Likely positive post-earnings drift,98.93%,1.1647,Insufficient historical setups (need outcomes + historical alt data).,
BTU,BTU,yoy_mean (116.98%); accel_mean (35.19%); market_volume_proxy_yoy (15.29%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,170.59%,market_proxy,254.77%,market_proxy,181.09%,Likely positive post-earnings drift,99.00%,1.8109,Insufficient historical setups (need outcomes + historical alt data).,
AEM,AEM,yoy_mean (90.90%); accel_mean (23.34%); market_volume_proxy_yoy (15.32%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,75.30%,market_proxy,255.26%,market_proxy,135.58%,Likely positive post-earnings drift,98.67%,1.3558,Insufficient historical setups (need outcomes + historical alt data).,
OTGLY,OTGLY,accel_mean (-106.63%); yoy_mean (-3.26%); market_volume_proxy_yoy (-1.79%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,17.94%,market_proxy,-29.78%,market_proxy,-110.24%,Likely negative post-earnings drift,1.00%,-1.1024,Insufficient historical setups (need outcomes + historical alt data).,
B,B,yoy_mean (69.18%); accel_mean (14.56%); market_volume_proxy_yoy (9.18%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,98.55%,market_proxy,153.00%,market_proxy,100.80%,Likely positive post-earnings drift,95.86%,1.0080,Insufficient historical setups (need outcomes + historical alt data).,
LIT,LIT,yoy_mean (63.52%); accel_mean (20.47%); market_volume_proxy_yoy (9.80%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,67.66%,market_proxy,163.31%,market_proxy,99.19%,Likely positive post-earnings drift,96.69%,0.9919,Insufficient historical setups (need outcomes + historical alt data).,
XME,XME,yoy_mean (65.50%); market_volume_proxy_yoy (9.47%); market_price_proxy_yoy (6.43%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,80.36%,market_proxy,157.81%,market_proxy,84.21%,Likely positive post-earnings drift,90.46%,0.8421,Insufficient historical setups (need outcomes + historical alt data).,
SNAP,SNAP,yoy_mean (-24.95%); accel_mean (-22.88%); search_trends_yoy (-4.84%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,-32.24%,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,-50.60%,market_proxy,-53.28%,market_proxy,-59.91%,Likely negative post-earnings drift,12.69%,-0.5991,Insufficient historical setups (need outcomes + historical alt data).,
INDA,INDA,yoy_mean (48.54%); accel_mean (17.16%); market_volume_proxy_yoy (10.97%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,-6.38%,market_proxy,182.90%,market_proxy,76.17%,Likely positive post-earnings drift,93.81%,0.7617,Insufficient historical setups (need outcomes + historical alt data).,
