company,ticker,strongest_drivers,source_provenance_summary,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,search_trends_provenance,news_mentions_yoy,news_mentions_provenance,price_promo_yoy,price_promo_provenance,foot_traffic_yoy,foot_traffic_provenance,website_traffic_provenance,app_rank_provenance,market_price_proxy_yoy,market_price_proxy_provenance,market_volume_proxy_yoy,market_volume_proxy_provenance,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
QCOM,QCOM,yoy_mean (207.48%); accel_mean (78.57%); market_volume_proxy_yoy (72.13%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,-51.66%,wikimedia,,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,-18.85%,market_proxy,1202.22%,market_proxy,348.92%,Likely positive post-earnings drift,99.00%,3.4892,Insufficient historical setups (need outcomes + historical alt data).,
FIX,FIX,yoy_mean (61.76%); relative_strength_mean (44.83%); market_price_proxy_yoy (20.62%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.775,hybrid,2,2,50.00%,,,-11.90%,wikimedia,100.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,257.75%,market_proxy,103.32%,market_proxy,149.90%,Likely positive post-earnings drift,99.00%,1.4990,Insufficient historical setups (need outcomes + historical alt data).,
GAU,GAU,yoy_mean (153.58%); market_volume_proxy_yoy (39.72%); news_mentions_yoy (18.00%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,100.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,75.81%,market_proxy,661.92%,market_proxy,202.16%,Likely positive post-earnings drift,98.50%,2.0216,Insufficient historical setups (need outcomes + historical alt data).,
GOLD,GOLD,yoy_mean (88.41%); market_volume_proxy_yoy (40.64%); accel_mean (25.76%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-83.52%,wikimedia,0.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,49.28%,market_proxy,677.25%,market_proxy,146.23%,Likely positive post-earnings drift,99.00%,1.4623,Insufficient historical setups (need outcomes + historical alt data).,
APP,APP,accel_mean (-67.38%); yoy_mean (-24.41%); news_mentions_yoy (-18.00%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-60.04%,wikimedia,-100.00%,gdelt,,local_csv,,local_csv,local_csv,local_csv,30.22%,market_proxy,-47.69%,market_proxy,-119.24%,Likely negative post-earnings drift,1.00%,-1.1924,Insufficient historical setups (need outcomes + historical alt data).,
EEM,EEM,yoy_mean (76.73%); accel_mean (24.41%); market_volume_proxy_yoy (15.29%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,24.25%,market_proxy,254.78%,market_proxy,118.37%,Likely positive post-earnings drift,98.15%,1.1837,Insufficient historical setups (need outcomes + historical alt data).,
ABBV,ABBV,yoy_mean (73.74%); accel_mean (26.91%); market_volume_proxy_yoy (16.21%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,-1.96%,market_proxy,270.12%,market_proxy,116.70%,Likely positive post-earnings drift,98.28%,1.1670,Insufficient historical setups (need outcomes + historical alt data).,
CLMT,CLMT,yoy_mean (54.14%); market_volume_proxy_yoy (10.44%); market_price_proxy_yoy (9.70%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,121.31%,market_proxy,174.00%,market_proxy,82.65%,Likely positive post-earnings drift,93.17%,0.8265,Insufficient historical setups (need outcomes + historical alt data).,
WMT,WMT,yoy_mean (70.82%); accel_mean (23.70%); market_volume_proxy_yoy (13.29%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,36.04%,market_proxy,221.47%,market_proxy,110.68%,Likely positive post-earnings drift,97.75%,1.1068,Insufficient historical setups (need outcomes + historical alt data).,
BACHY,BACHY,accel_mean (-31.48%); yoy_mean (-26.68%); news_mentions_yoy (-9.00%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,-50.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,-0.61%,market_proxy,-94.91%,market_proxy,-72.90%,Likely negative post-earnings drift,6.90%,-0.7290,Insufficient historical setups (need outcomes + historical alt data).,
INTC,INTC,yoy_mean (59.54%); accel_mean (17.42%); market_volume_proxy_yoy (8.12%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,81.13%,market_proxy,135.39%,market_proxy,91.58%,Likely positive post-earnings drift,95.56%,0.9158,Insufficient historical setups (need outcomes + historical alt data).,
CHEF,CHEF,yoy_mean (34.21%); accel_mean (16.99%); market_volume_proxy_yoy (10.81%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,6.48%,market_proxy,180.12%,market_proxy,62.52%,Likely positive post-earnings drift,92.81%,0.6252,Insufficient historical setups (need outcomes + historical alt data).,
LIT,LIT,yoy_mean (36.46%); accel_mean (12.23%); market_volume_proxy_yoy (8.08%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,64.17%,market_proxy,134.73%,market_proxy,61.91%,Likely positive post-earnings drift,91.14%,0.6191,Insufficient historical setups (need outcomes + historical alt data).,
