company,ticker,strongest_drivers,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,news_mentions_yoy,price_promo_yoy,foot_traffic_yoy,market_price_proxy_yoy,market_volume_proxy_yoy,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
FIX,FIX,yoy_mean (40.30%); relative_strength_mean (33.76%); market_price_proxy_yoy (24.53%),0.719,hybrid,1,2,66.67%,,,-29.03%,,,,306.60%,-57.74%,82.77%,Likely positive post-earnings drift,96.22%,0.8277,Insufficient historical setups (need outcomes + historical alt data).,
GAU,GAU,yoy_mean (163.35%); accel_mean (-43.89%); market_volume_proxy_yoy (30.65%),0.370,proxy_only,0,2,100.00%,,,,,,,83.21%,510.78%,156.76%,Likely positive post-earnings drift,85.11%,1.5676,Insufficient historical setups (need outcomes + historical alt data).,
TTD,TTD,yoy_mean (-33.12%); relative_strength_mean (-14.44%); search_trends_yoy (-9.12%),0.719,hybrid,1,2,66.67%,,,-60.77%,,,,-52.04%,-67.81%,-67.93%,Likely negative post-earnings drift,18.14%,-0.6793,Insufficient historical setups (need outcomes + historical alt data).,
AMZN,AMZN,yoy_mean (-19.24%); accel_mean (-9.18%); search_trends_yoy (-8.39%),0.719,hybrid,1,2,66.67%,,,-55.96%,,,,7.23%,-56.21%,-39.90%,Likely negative post-earnings drift,33.57%,-0.3990,Insufficient historical setups (need outcomes + historical alt data).,
SNAP,SNAP,yoy_mean (-22.46%); accel_mean (-12.35%); search_trends_yoy (-5.99%),0.519,hybrid,1,2,66.67%,,,-39.92%,,,,-49.05%,-33.52%,-46.73%,Likely negative post-earnings drift,23.77%,-0.4673,Insufficient historical setups (need outcomes + historical alt data).,
JNPR,JNPR,yoy_mean (-38.67%); search_trends_yoy (-10.55%); accel_mean (-6.74%),0.406,direct,1,0,0.00%,,,-70.31%,,,,,,-55.96%,Likely negative post-earnings drift,22.65%,-0.5596,Insufficient historical setups (need outcomes + historical alt data).,
AAPL,AAPL,yoy_mean (-14.09%); search_trends_yoy (-4.36%); accel_mean (-4.04%),0.719,hybrid,1,2,66.67%,,,-29.08%,,,,18.06%,-65.84%,-28.06%,Mixed / neutral expected reaction,42.91%,-0.2806,Insufficient historical setups (need outcomes + historical alt data).,
DDOG,DDOG,yoy_mean (-20.49%); search_trends_yoy (-12.36%); market_volume_proxy_yoy (-3.02%),0.519,hybrid,1,2,66.67%,,,-82.42%,,,,21.02%,-50.35%,-37.13%,Mixed / neutral expected reaction,37.04%,-0.3713,Insufficient historical setups (need outcomes + historical alt data).,
FNV,FNV,yoy_mean (-16.85%); search_trends_yoy (-14.67%); accel_mean (-6.77%),0.519,hybrid,1,2,66.67%,,,-97.82%,,,,65.21%,-59.30%,-36.64%,Likely negative post-earnings drift,33.36%,-0.3664,Insufficient historical setups (need outcomes + historical alt data).,
OTGLY,OTGLY,accel_mean (-24.20%); yoy_mean (-22.19%); market_volume_proxy_yoy (-5.89%),0.370,proxy_only,0,2,100.00%,,,,,,,17.44%,-98.12%,-50.88%,Likely negative post-earnings drift,12.58%,-0.5088,Insufficient historical setups (need outcomes + historical alt data).,
