company,ticker,strongest_drivers,source_provenance_summary,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,search_trends_provenance,news_mentions_yoy,news_mentions_provenance,price_promo_yoy,price_promo_provenance,foot_traffic_yoy,foot_traffic_provenance,website_traffic_provenance,app_rank_provenance,market_price_proxy_yoy,market_price_proxy_provenance,market_volume_proxy_yoy,market_volume_proxy_provenance,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
FIX,FIX,yoy_mean (93.41%); relative_strength_mean (65.53%); news_mentions_yoy (54.00%),search:wikimedia | news:finnhub_backfill | price_proxy:market_proxy | volume_proxy:market_proxy,0.775,hybrid,2,2,50.00%,,,65.22%,wikimedia,300.00%,finnhub_backfill,,local_csv,,local_csv,local_csv,local_csv,377.96%,market_proxy,-63.82%,market_proxy,225.21%,Likely positive post-earnings drift,99.00%,2.2521,Insufficient historical setups (need outcomes + historical alt data).,
LULU,LULU,yoy_mean (-42.44%); news_mentions_yoy (-18.00%); search_trends_yoy (-13.68%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-91.19%,wikimedia,-100.00%,gdelt,,local_csv,,local_csv,local_csv,local_csv,-40.95%,market_proxy,-76.54%,market_proxy,-91.47%,Likely negative post-earnings drift,12.30%,-0.9147,"n=1, hit_rate=100.00%, avg_5d=-5.80%, similar5_avg_5d=-5.80%",
XOVR,XOVR,yoy_mean (78.85%); accel_mean (19.53%); market_volume_proxy_yoy (16.22%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,16.44%,market_proxy,270.28%,market_proxy,115.91%,Likely positive post-earnings drift,97.58%,1.1591,Insufficient historical setups (need outcomes + historical alt data).,
APP,APP,yoy_mean (-24.12%); news_mentions_yoy (-18.00%); accel_mean (-11.22%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-70.56%,wikimedia,-100.00%,gdelt,,local_csv,,local_csv,local_csv,local_csv,76.13%,market_proxy,-80.97%,market_proxy,-62.69%,Likely negative post-earnings drift,19.63%,-0.6269,Insufficient historical setups (need outcomes + historical alt data).,
GRMN,GRMN,yoy_mean (-24.30%); news_mentions_yoy (-15.43%); accel_mean (-13.70%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-40.55%,wikimedia,-85.71%,gdelt,,local_csv,,local_csv,local_csv,local_csv,33.17%,market_proxy,-83.63%,market_proxy,-61.87%,Likely negative post-earnings drift,18.20%,-0.6187,"n=1, hit_rate=0.00%, avg_5d=0.64%, similar5_avg_5d=0.64%",
ROP,ROP,yoy_mean (-22.68%); news_mentions_yoy (-18.00%); accel_mean (-16.73%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,4.00%,wikimedia,-100.00%,gdelt,,local_csv,,local_csv,local_csv,local_csv,-33.95%,market_proxy,-35.00%,market_proxy,-61.62%,Likely negative post-earnings drift,16.34%,-0.6162,"n=1, hit_rate=0.00%, avg_5d=-7.20%, similar5_avg_5d=-7.20%",
MAS,MAS,yoy_mean (-26.80%); news_mentions_yoy (-18.00%); accel_mean (-5.79%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-37.27%,wikimedia,-100.00%,gdelt,,local_csv,,local_csv,local_csv,local_csv,-6.04%,market_proxy,-51.61%,market_proxy,-59.76%,Likely negative post-earnings drift,24.97%,-0.5976,"n=1, hit_rate=100.00%, avg_5d=7.10%, similar5_avg_5d=7.10%",
LRCX,LRCX,yoy_mean (40.08%); market_price_proxy_yoy (21.57%); accel_mean (5.16%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,23.00%,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,269.67%,market_proxy,-74.08%,market_proxy,65.81%,Likely positive post-earnings drift,89.08%,0.6581,"n=1, hit_rate=100.00%, avg_5d=12.08%, similar5_avg_5d=12.08%",
TTD,TTD,yoy_mean (-16.63%); accel_mean (-14.74%); relative_strength_mean (-7.28%),search:wikimedia | news:unknown | price_proxy:market_proxy | volume_proxy:market_proxy,0.719,hybrid,1,2,66.67%,,,-20.69%,wikimedia,,unknown,,local_csv,,local_csv,local_csv,local_csv,-52.31%,market_proxy,-17.71%,market_proxy,-47.00%,Likely negative post-earnings drift,20.95%,-0.4700,Insufficient historical setups (need outcomes + historical alt data).,
CMI,CMI,yoy_mean (-21.25%); news_mentions_yoy (-16.80%); search_trends_yoy (-15.00%),search:wikimedia | news:gdelt | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-100.00%,wikimedia,-93.33%,gdelt,,local_csv,,local_csv,local_csv,local_csv,98.00%,market_proxy,-59.19%,market_proxy,-58.11%,Likely negative post-earnings drift,22.73%,-0.5811,"n=1, hit_rate=100.00%, avg_5d=-1.11%, similar5_avg_5d=-1.11%",
