company,ticker,strongest_drivers,source_provenance_summary,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,search_trends_provenance,news_mentions_yoy,news_mentions_provenance,price_promo_yoy,price_promo_provenance,foot_traffic_yoy,foot_traffic_provenance,website_traffic_provenance,app_rank_provenance,market_price_proxy_yoy,market_price_proxy_provenance,market_volume_proxy_yoy,market_volume_proxy_provenance,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
FIX,FIX,yoy_mean (84.90%); news_mentions_yoy (54.00%); relative_strength_mean (32.88%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.775,hybrid,2,2,50.00%,,,5.88%,wikimedia,300.00%,none,,local_csv,,local_csv,local_csv,local_csv,317.35%,market_proxy,-5.79%,market_proxy,193.45%,Likely positive post-earnings drift,99.00%,1.9345,Insufficient historical setups (need outcomes + historical alt data).,
XOVR,XOVR,yoy_mean (253.38%); accel_mean (56.12%); market_volume_proxy_yoy (55.07%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.370,proxy_only,0,2,100.00%,,,,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,3.54%,market_proxy,917.83%,market_proxy,364.85%,Likely positive post-earnings drift,99.00%,3.6485,Insufficient historical setups (need outcomes + historical alt data).,
ARGT,ARGT,yoy_mean (81.44%); accel_mean (45.39%); market_volume_proxy_yoy (25.78%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,14.61%,market_proxy,429.64%,market_proxy,153.78%,Likely positive post-earnings drift,99.00%,1.5378,Insufficient historical setups (need outcomes + historical alt data).,
ROP,ROP,yoy_mean (64.57%); news_mentions_yoy (54.00%); market_volume_proxy_yoy (13.68%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-18.62%,wikimedia,300.00%,none,,local_csv,,local_csv,local_csv,local_csv,-39.72%,market_proxy,227.97%,market_proxy,130.00%,Likely positive post-earnings drift,97.08%,1.3000,"n=1, hit_rate=0.00%, avg_5d=-7.20%, similar5_avg_5d=-7.20%",
GAU,GAU,yoy_mean (95.43%); market_volume_proxy_yoy (23.61%); market_price_proxy_yoy (10.16%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,126.96%,market_proxy,393.55%,market_proxy,136.89%,Likely positive post-earnings drift,97.76%,1.3689,"n=1, hit_rate=100.00%, avg_5d=16.30%, similar5_avg_5d=16.30%",
CLMT,CLMT,yoy_mean (74.54%); accel_mean (27.46%); market_volume_proxy_yoy (14.61%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,163.04%,market_proxy,243.54%,market_proxy,129.65%,Likely positive post-earnings drift,98.91%,1.2965,"n=1, hit_rate=0.00%, avg_5d=4.81%, similar5_avg_5d=4.81%",
XYL,XYL,news_mentions_yoy (54.00%); yoy_mean (38.19%); accel_mean (18.46%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.575,hybrid,2,2,50.00%,,,-7.64%,wikimedia,300.00%,none,,local_csv,,local_csv,local_csv,local_csv,2.88%,market_proxy,-17.52%,market_proxy,108.68%,Likely positive post-earnings drift,97.58%,1.0868,"n=1, hit_rate=0.00%, avg_5d=-9.28%, similar5_avg_5d=-9.28%",
WS,WS,yoy_mean (60.06%); accel_mean (20.38%); news_mentions_yoy (18.00%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,100.00%,none,,local_csv,,local_csv,local_csv,local_csv,20.00%,market_proxy,207.60%,market_proxy,112.50%,Likely positive post-earnings drift,97.84%,1.1250,"n=1, hit_rate=100.00%, avg_5d=4.26%, similar5_avg_5d=4.26%",
LIT,LIT,yoy_mean (60.53%); accel_mean (23.55%); market_volume_proxy_yoy (14.25%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,,wikimedia,0.00%,none,,local_csv,,local_csv,local_csv,local_csv,92.75%,market_proxy,237.43%,market_proxy,105.75%,Likely positive post-earnings drift,97.82%,1.0575,Insufficient historical setups (need outcomes + historical alt data).,
EFX,EFX,yoy_mean (61.02%); accel_mean (23.12%); market_volume_proxy_yoy (22.05%),search:wikimedia | news:none | price_proxy:market_proxy | volume_proxy:market_proxy,0.519,hybrid,1,2,66.67%,,,-7.22%,wikimedia,,none,,local_csv,,local_csv,local_csv,local_csv,-27.43%,market_proxy,367.47%,market_proxy,102.91%,Likely positive post-earnings drift,97.64%,1.0291,"n=1, hit_rate=100.00%, avg_5d=9.15%, similar5_avg_5d=9.15%",
