ticker,report_date,revenue_surprise_pct,post_earnings_return_5d
MO,2025-08-04,0.000399,0.06022
MO,2025-11-04,0.000013,0.019194
MO,2026-02-04,-0.000133,0.011664
MPWR,2023-02-08,0.01,0.02
MPWR,2023-05-03,0.01,0.01
MPWR,2023-08-02,0.00,0.00
MPWR,2023-11-01,0.01,0.01
MPWR,2024-02-07,0.01,0.02
MPWR,2024-05-01,0.00,0.00
MPWR,2024-08-07,-0.01,-0.02
MPWR,2024-10-30,0.01,0.01
MPWR,2025-02-05,0.01,0.01
MPWR,2025-04-30,0.00,0.00
MPWR,2025-08-06,-0.01,-0.01
MPWR,2025-10-29,0.01,0.01
MRK,2025-05-05,0.000398,-0.029092
MRK,2025-08-04,0.000504,0.002129
MRK,2025-11-04,0.000985,0.084546
MRK,2026-02-04,0.000147,0.008282
MTX,2025-05-05,-0.00038,0.100793
MTX,2025-08-04,0.000993,0.031659
MTX,2025-11-04,0.000616,0.030031
MTX,2026-02-04,-0.000059,0.036478
NEM,2023-02-23,0.00,-0.01
NEM,2023-04-27,0.01,0.00
NEM,2023-07-20,0.01,0.02
NEM,2023-10-26,-0.01,-0.03
NEM,2024-02-22,0.02,0.04
NEM,2024-04-25,0.01,0.02
NEM,2024-07-25,0.00,-0.01
NEM,2024-10-24,0.01,0.01
NEM,2025-02-20,0.02,0.03
NEM,2025-04-24,0.01,0.01
NEM,2025-07-24,0.00,0.00
NEM,2025-10-23,0.01,0.02
NFLX,2025-05-05,0.001682,-0.021216
NFLX,2025-08-04,0.000224,0.04041
NFLX,2025-11-04,-0.001579,0.039782
NFLX,2026-02-04,0.000143,-0.006737
NOW,2025-05-05,0.000536,0.038393
NOW,2025-08-04,0.001463,-0.072189
NOW,2025-11-04,0.0013,-0.030307
NOW,2026-02-04,0.000395,-0.094445
NTAP,2025-06-04,0.000176,-0.010891
NTAP,2025-08-04,-0.002378,0.025671
NTAP,2025-09-04,0.000074,0.05268
NTAP,2025-11-04,-0.011543,-0.025763
NTAP,2025-12-05,0.000876,-0.013729
NTAP,2026-02-04,0.065821,0.053417
NTAP,2026-03-07,0.000278,0.016201
NVDA,2023-02-22,0.08,0.12
NVDA,2023-05-24,0.06,0.09
NVDA,2023-08-23,0.05,0.07
NVDA,2023-11-21,0.09,0.14
NVDA,2024-02-21,0.07,0.10
NVDA,2024-05-22,0.04,0.05
NVDA,2024-08-28,0.03,-0.02
NVDA,2024-11-20,0.06,0.08
NVDA,2025-02-26,0.05,0.06
NVDA,2025-05-28,0.02,-0.01
NVDA,2025-08-27,0.04,0.03
NVDA,2025-11-20,0.06,0.08
OTGLY,2025-05-05,0.117098,-0.042985
OTGLY,2025-08-04,-0.100743,0.045673
OTGLY,2025-11-04,0.473636,0.00059
OTGLY,2026-02-04,2.821949,-0.020288
PANW,2025-06-04,0.000359,0.001649
PANW,2025-08-04,0.01846,-0.01655
PANW,2025-09-04,0.000731,0.031089
PANW,2025-11-04,0.053098,0.017481
PANW,2025-12-05,0.000436,-0.035959
PANW,2026-02-04,0.024116,-0.008517
PANW,2026-03-07,0.000994,0.014234
PHM,2025-05-05,0.0006,0.027684
PHM,2025-08-04,0.000214,0.007038
PHM,2025-11-04,0.000214,0.013206
PHM,2026-02-04,-0.00095,0.035298
PLTR,2023-02-13,0.01,0.03
PLTR,2023-05-08,0.02,0.04
PLTR,2023-08-07,0.01,0.02
PLTR,2023-11-02,0.00,-0.01
PLTR,2024-02-05,0.03,0.06
PLTR,2024-05-06,0.02,0.04
PLTR,2024-08-05,0.01,0.01
PLTR,2024-11-04,0.03,0.05
PLTR,2025-02-03,0.02,0.03
PLTR,2025-05-05,0.01,0.02
PLTR,2025-08-04,0.00,-0.02
PLTR,2025-11-03,0.02,0.03
PNR,2025-05-05,0.000974,0.05503
PNR,2025-08-04,0.000401,0.006555
PNR,2025-11-04,0.000502,0.00989
PNR,2026-02-04,0.000183,0.033306
PTC,2025-05-05,0.002758,0.056902
PTC,2025-08-04,0.003526,-0.060626
PTC,2025-11-04,0.005271,-0.073061
PTC,2026-02-04,0.002276,0.028149
QCOM,2025-05-05,0.000119,0.090935
QCOM,2025-08-04,0.000205,0.003118
QCOM,2025-11-04,0.000432,0.006596
QCOM,2026-02-04,0.000287,-0.052724
RMD,2025-05-05,-0.005706,0.03132
RMD,2025-08-04,0.017395,-0.02443
RMD,2025-11-04,-0.01159,0.024472
RMD,2026-02-04,0.021484,-0.012964
ROP,2025-05-05,-0.001128,0.008247
ROP,2025-08-04,-0.002233,-0.034662
ROP,2025-11-04,-0.004435,-0.013443
ROP,2026-02-04,0.003641,-0.07203
RTX,2025-05-05,0.074247,0.01532
RTX,2025-08-04,0.069592,-0.016393
RTX,2025-11-04,0.194659,0.020557
RTX,2026-02-04,0.045813,-0.001169
SCHW,2025-05-05,0.012165,0.027277
SCHW,2025-08-04,0.016133,0.008294
