as_of_date,opened_date,closed_date,status,close_reason,symbol,entry_price,last_price,days_open,expected_alpha_20d_pct,expected_alpha_90d_pct,expected_alpha_to_date_pct,realized_return_pct,alpha_vs_expected_pct,source_file
2026-04-02,2026-03-08,,OPEN,,PLTR,157.1600,146.4900,25,1.09,2.53,1.1929,-6.7893,-7.9822,2026-03-07-final-top5.csv
2026-04-02,2026-03-08,,OPEN,,APP,502.1400,387.8400,25,0.96,2.23,1.0507,-22.7626,-23.8133,2026-03-07-final-top5.csv
2026-04-02,2026-03-08,,OPEN,,NEM,116.2900,113.7900,25,0.84,1.96,0.9200,-2.1498,-3.0698,2026-03-07-final-top5.csv
2026-04-02,2026-03-08,,OPEN,,FIX,1279.0600,1428.5200,25,0.77,1.8,0.8436,11.6851,10.8415,2026-03-07-final-top5.csv
2026-04-02,2026-03-08,,OPEN,,TTD,29.2800,21.9800,25,0.49,1.15,0.5371,-24.9317,-25.4688,2026-03-07-final-top5.csv
2026-04-02,2026-03-16,,OPEN,,NVDA,180.2500,175.7500,17,2.26,5.27,1.9210,-2.4965,-4.4175,2026-03-16-final-top5.csv
2026-04-02,2026-03-25,,OPEN,,LULU,160.9500,158.8100,8,0.98,2.29,0.3920,-1.3296,-1.7216,2026-03-25-final-top5.csv
2026-04-02,2026-03-25,,OPEN,,INCY,90.6200,94.3000,8,0.95,2.23,0.3800,4.0609,3.6809,2026-03-25-final-top5.csv
2026-04-02,2026-03-25,,OPEN,,AOS,65.4500,65.0800,8,0.92,2.15,0.3680,-0.5653,-0.9333,2026-03-25-final-top5.csv
2026-04-02,2026-04-01,,OPEN,,LRCX,222.0100,222.0100,1,1.19,2.78,0.0595,0.0000,-0.0595,2026-04-01-final-top5.csv
