as_of_date,opened_date,closed_date,status,close_reason,symbol,entry_price,last_price,days_open,expected_alpha_20d_pct,expected_alpha_90d_pct,expected_alpha_to_date_pct,realized_return_pct,alpha_vs_expected_pct,source_file
2026-04-01,2026-03-08,,OPEN,,PLTR,157.1600,146.4900,24,1.09,2.53,1.1723,-6.7893,-7.9616,2026-03-07-final-top5.csv
2026-04-01,2026-03-08,,OPEN,,APP,502.1400,387.8400,24,0.96,2.23,1.0326,-22.7626,-23.7952,2026-03-07-final-top5.csv
2026-04-01,2026-03-08,,OPEN,,NEM,116.2900,113.7900,24,0.84,1.96,0.9040,-2.1498,-3.0538,2026-03-07-final-top5.csv
2026-04-01,2026-03-08,,OPEN,,FIX,1279.0600,1428.5200,24,0.77,1.8,0.8289,11.6851,10.8562,2026-03-07-final-top5.csv
2026-04-01,2026-03-08,,OPEN,,TTD,29.2800,21.9800,24,0.49,1.15,0.5277,-24.9317,-25.4594,2026-03-07-final-top5.csv
2026-04-01,2026-03-16,,OPEN,,NVDA,180.2500,175.7500,16,2.26,5.27,1.8080,-2.4965,-4.3045,2026-03-16-final-top5.csv
2026-04-01,2026-03-25,,OPEN,,LULU,160.9500,158.8100,7,0.98,2.29,0.3430,-1.3296,-1.6726,2026-03-25-final-top5.csv
2026-04-01,2026-03-25,,OPEN,,INCY,90.6200,94.3000,7,0.95,2.23,0.3325,4.0609,3.7284,2026-03-25-final-top5.csv
2026-04-01,2026-03-25,,OPEN,,AOS,65.4500,65.0800,7,0.92,2.15,0.3220,-0.5653,-0.8873,2026-03-25-final-top5.csv
2026-04-01,2026-04-01,,OPEN,,LRCX,222.0100,222.0100,0,1.19,2.78,0.0000,0.0000,0.0000,2026-04-01-final-top5.csv
