as_of_date,opened_date,closed_date,status,close_reason,symbol,entry_price,last_price,days_open,expected_alpha_20d_pct,expected_alpha_90d_pct,expected_alpha_to_date_pct,realized_return_pct,alpha_vs_expected_pct,source_file
2026-03-16,2026-03-08,,OPEN,,PLTR,157.1600,152.3499,8,1.09,2.53,0.4360,-3.0606,-3.4966,2026-03-07-final-top5.csv
2026-03-16,2026-03-08,,OPEN,,APP,502.1400,453.9400,8,0.96,2.23,0.3840,-9.5989,-9.9829,2026-03-07-final-top5.csv
2026-03-16,2026-03-08,,OPEN,,NEM,116.2900,109.6500,8,0.84,1.96,0.3360,-5.7099,-6.0459,2026-03-07-final-top5.csv
2026-03-16,2026-03-08,,OPEN,,FIX,1279.0600,1408.2700,8,0.77,1.8,0.3080,10.1019,9.7939,2026-03-07-final-top5.csv
2026-03-16,2026-03-08,,OPEN,,TTD,29.2800,27.0900,8,0.49,1.15,0.1960,-7.4795,-7.6755,2026-03-07-final-top5.csv
2026-03-16,2026-03-16,,OPEN,,NVDA,180.2500,184.3750,0,2.26,5.27,0.0000,2.2885,2.2885,2026-03-16-final-top5.csv
