,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02S,F02E,F02N,F02R,F030,F040,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,T019
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in structures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,State and local government consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total use of products
524,Insurance carriers and related activities,4423,410,4094,880,2007,1904,854,394,1488,867,1369,1520,241,1291,4364,944,508,562,5257,253,58,550,85,252,2145,923,55103,6085,1759,1487,11211,1464,47,1315,20729,25483,677,5153,2892,450,1592,1973,1618,8535,21630,570525,14287,16103,87941,20772,3333,3644,13733,629,11719,1957,2830,21483,24935,5474,12419,4259,3519,1912,13869,4951,0,1330,7654,4975,18007,1079107,518887,---,---,---,3924,---,28820,---,---,---,---,---,---,---,---,---,---,---,---,1630738
525,"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,6759,12567,---,---,---,---,---,---,85,---,---,---,---,---,---,---,---,---,---,---,---,---,195,---,2040,---,21645,285522,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,307167
HS,Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3143691,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3143691
ORE,Other real estate,3039,32,2988,273,655,7398,37412,1022,1536,704,7318,2555,7386,1459,2320,1924,1612,2141,6657,549,188,2397,2455,161,6614,3863,135358,39533,35625,20000,160241,617,263,1503,11712,6612,680,8372,12073,14479,5524,43945,22819,34270,56809,31230,1416,6219,234838,23800,23739,12363,92448,52655,37278,5340,51588,82871,116729,41034,20741,20295,33626,4658,101263,121891,820,17356,1006,27975,3766,1882038,8094,43917,---,---,159902,---,3344,---,---,---,---,---,---,---,---,---,---,---,---,2097296
532RL,Rental and leasing services and lessors of intangible assets,3056,83,4939,2689,3162,2583,41692,408,1304,1161,3099,1856,616,1021,9128,1089,331,1062,5610,81,2616,1691,613,670,4907,1550,49607,1915,2190,5113,12945,18226,8822,11634,30069,2435,67,2687,1166,3343,1166,11279,19370,5338,15567,3059,37,6579,5084,26839,2936,6828,29450,39553,12397,3692,2408,8274,5201,628,872,4475,3951,4362,37825,3426,730,688,179,14797,1645,525868,106861,---,---,---,---,---,122021,---,---,---,---,---,---,---,---,---,---,---,---,754751
5411,Legal services,528,68,1022,559,212,5632,12156,683,660,988,2441,1747,6414,390,2991,1782,346,1792,1664,154,121,1028,504,223,5534,1517,23084,1135,826,640,6874,339,1085,286,344,515,108,712,470,6759,1381,3760,13291,7939,18727,16021,3180,2634,15434,1667,3416,5404,23184,13106,9055,701,531,6987,23741,2187,1167,3699,3322,1451,3759,8917,0,211,78,22202,2501,313987,141844,---,---,---,12638,---,19648,---,---,---,---,---,---,---,---,---,---,---,---,488116
5415,Computer systems design and related services,538,22,6850,597,62,2115,9646,382,412,357,1906,1804,335,161,611,1646,231,368,1480,64,18,363,384,278,318,526,23885,6206,910,1380,7490,388,1195,40,765,279,18,363,157,7977,545,3973,18152,7786,16889,7693,1688,1057,7200,875,4375,12075,15896,2352,17776,690,2567,5083,6706,1344,2108,586,1470,1042,7642,5283,7577,17891,115,38185,8063,307211,---,---,80848,358405,---,---,73151,---,---,1058,14005,---,---,---,38159,---,---,194,13421,886452
5412OP,"Miscellaneous professional, scientific, and technical services",3108,398,4919,1863,1437,16822,94629,2619,3436,4119,6631,4625,8584,2366,6085,3818,2230,3895,15222,678,199,3360,1675,931,9845,5560,176670,41125,12100,4921,103006,2376,2347,2323,5436,4220,3536,2899,3774,33969,8301,42583,94525,65370,70227,49358,4856,3964,86866,22449,13179,42971,192437,59451,66039,4203,14749,41551,57222,11392,9899,13394,14471,8607,40359,54284,94091,17904,1890,112364,41058,1967773,124768,---,55213,798514,1657,---,233971,---,---,---,76463,---,---,---,126524,---,---,---,29819,3414702
55,Management of companies and enterprises,---,---,35072,7803,3585,96,24545,542,2854,1561,4982,11332,5185,3069,11084,4336,523,3865,30698,935,495,2550,566,2081,14025,2184,146052,3566,6178,12680,37879,4371,13,1671,4850,568,4,7259,1706,6270,597,5297,5805,7930,23544,6709,2711,149,59898,23936,4195,5348,21800,36,23239,5878,10827,61449,13636,7609,2491,3300,3828,21957,80253,13004,---,---,146,0,---,822609,---,---,---,---,---,---,4910,---,---,---,---,---,---,---,---,---,---,---,---,827519
561,Administrative and support services,475,21,461,468,972,7437,11605,949,1335,3974,9125,1897,2654,632,2988,4476,335,1537,3634,146,533,1394,2594,595,4045,1697,73786,8095,2641,3516,22215,6373,1039,8326,9347,16628,3336,10307,5397,25754,1862,28161,41953,22569,20291,13899,212,3022,234173,48347,9891,37605,69359,18517,76333,5456,8939,36570,64622,13715,4369,6604,4566,5884,15357,19897,7705,13595,551,54682,12420,1163867,100663,---,---,---,---,---,7434,---,---,---,---,---,---,---,---,---,---,---,---,1271965
562,Waste management and remediation services,169,1,575,92,75,540,2859,141,269,306,348,208,67,82,172,124,88,91,1369,42,4,292,85,135,1310,273,2363,974,310,148,998,116,163,6,775,84,279,192,205,57,57,94,138,459,207,1519,375,3,67524,1379,327,352,2058,609,3473,14431,408,2165,2380,916,516,183,721,963,2414,1663,158,851,215,31019,6357,160325,40766,---,---,---,---,---,753,---,---,---,---,---,---,---,---,---,---,---,---,201845
61,Educational services,2,0,---,---,---,2,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,0,---,0,1742,304,547,---,2514,129,1,---,---,---,0,0,0,0,---,4,0,35,14,---,---,---,---,---,---,0,0,---,332,---,2688,0,6,---,---,6155,939,---,---,4596,0,41,156,14081,11,34300,476150,---,---,---,---,---,2887,---,---,---,---,---,---,---,---,---,---,---,---,513338
621,Ambulatory health care services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,150,---,108,---,---,19826,18965,147,1,209,7,---,---,84,---,2395,---,21850,---,63742,1597086,---,---,---,---,---,633,---,---,---,---,---,---,---,---,---,---,---,---,1661461
622,Hospitals,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1000,---,---,---,---,---,---,---,---,---,---,---,---,1000,1547193,---,---,---,---,---,13973,---,---,---,---,---,---,---,---,---,---,---,---,1562166
623,Nursing and residential care facilities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5221,---,2794,---,8015,339835,---,---,---,---,---,145,---,---,---,---,---,---,---,---,---,---,---,---,347995
624,Social assistance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,24,---,24,357137,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,357161
711AS,"Performing arts, spectator sports, museums, and related activities",134,0,1,0,22,110,441,57,59,87,104,61,5,8,49,13,21,28,177,5,1,78,46,21,37,132,6164,901,539,101,1300,0,153,---,87,65,---,361,10,254,13078,33783,844,3591,1455,329,601,1,10055,669,830,1717,7629,5668,3207,201,1893,2237,2771,429,1789,40370,1617,474,6642,3195,0,44,36,3308,92,160189,126226,---,---,11517,---,---,1456,---,---,---,---,---,---,---,---,---,---,---,---,299388
713,"Amusements, gambling, and recreation industries",135,1,---,2,47,206,969,52,83,54,99,53,6,5,45,13,26,29,123,1,0,52,41,10,40,85,3007,56,181,7,1503,1,1,---,0,---,---,51,4,146,64,184,953,2105,1244,179,179,1,0,650,457,1764,2279,3004,2188,183,305,2432,90,212,415,243,418,488,2461,333,2941,34,4,5376,162,38486,289915,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,328401
721,Accommodation,2,0,2,10,148,974,757,166,231,192,346,201,23,38,223,44,87,109,428,12,2,181,188,36,154,318,4890,67,78,47,372,0,17,---,0,0,18,431,16,567,300,719,3718,8184,4867,634,677,6,19164,2851,1380,6998,8118,1195,6102,835,1278,6206,365,481,637,204,489,768,5026,1065,5309,2763,46,5804,362,107927,212298,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,320226
722,Food services and drinking places,547,9,24,38,321,2061,958,248,299,296,429,265,27,75,262,69,100,131,690,33,9,286,184,82,193,416,12087,1561,1022,981,5302,11824,4,26,991,354,106,2271,321,521,388,700,3346,12720,5029,3254,1683,5,59181,7891,2634,9510,21142,6336,13557,798,2345,40240,29971,11963,5657,809,2759,12290,13186,2748,1996,907,349,29281,1156,349249,1188857,---,---,---,---,---,3101,---,---,---,---,---,---,---,---,---,---,---,---,1541208
81,"Other services, except government",399,54,129,134,255,899,12179,545,1388,1648,1912,910,457,298,938,492,175,402,2807,104,10,1368,358,439,2051,1076,25577,3609,2580,1927,8092,623,109,710,9392,4878,775,2369,946,1724,245,5470,2759,6825,7039,5260,329,25628,7639,11873,1101,2870,12456,7744,21888,6812,4124,7715,15096,2004,1277,1430,2517,2041,14273,9802,6009,16600,578,58467,6450,369063,935473,---,---,---,---,---,109,---,---,---,---,---,---,---,---,---,---,---,---,1304645
GFGD,Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,854761,---,---,---,---,---,---,---,---,---,---,---,854761
GFGN,Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,586717,---,---,---,---,---,---,---,586717
GFE,Federal government enterprises,10,2,---,4,---,238,12,---,---,38,115,193,34,134,---,---,---,11,0,1,---,---,44,13,39,---,22072,1231,622,264,5924,3,0,2639,1978,590,163,971,579,257,238,153,1630,1279,3123,102,0,0,817,2777,282,549,2236,243,1203,161,523,1566,3957,329,570,212,172,817,9889,599,1,149,93,2931,150,74932,6649,---,---,---,---,---,538,---,---,---,---,---,---,---,---,---,---,---,---,82119
GSLG,State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2550362,---,---,---,2550362
GSLE,State and local government enterprises,---,1,---,---,---,732,---,83,224,257,294,204,51,66,162,119,54,85,1267,45,1,254,68,121,1254,211,1760,694,302,125,857,6,---,---,422,10,136,78,176,73,78,100,190,586,351,83,---,---,4269,2556,536,305,1456,527,1882,1205,272,1172,1171,707,319,185,374,910,2203,1617,1920,641,198,9506,3193,48700,107344,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,156044
Used,"Scrap, used and secondhand goods",-18,245,---,0,1502,9134,3958,---,242,49361,711,7,---,---,---,---,---,1,---,41,---,3727,---,---,86,100,0,43,---,---,292,-90,---,-183,1118,10,100,4837,0,---,1,0,---,---,---,---,---,---,---,39,---,---,---,86,---,---,1673,0,---,---,---,-155,465,---,---,56048,-60,---,---,---,---,133323,274602,-3668,-139289,---,-588,9992,50907,---,-4,0,---,---,-1048,39,---,---,5892,-22969,---,307187
Other,Noncomparable imports and rest-of-the-world adjustment,1088,31,1073,14,214,1071,2926,348,357,796,760,1072,2820,424,2062,398,125,295,2431,82,21,709,243,1801,1711,707,8994,126,516,755,3722,24306,98,2195,849,24,161,755,108,778,366,5455,989,3193,56709,2272,144,21,786,3485,141,2672,3653,2185,1536,89,476,---,---,499,---,530,550,968,3873,4015,9347,1708,4,---,---,172628,-36201,---,---,15403,---,---,223557,---,---,---,---,---,---,---,---,---,---,---,---,375387
T005,Total Intermediate,349875,14283,203385,59052,39720,188914,1206105,113984,97773,225585,269962,228106,112808,112524,585113,179811,50161,64278,892698,30510,9428,144401,43111,454919,441803,196906,1233216,194953,114731,84380,590901,153564,39290,53224,269591,94363,24710,138679,60471,208911,87599,437018,360997,410610,536574,744193,236757,309747,1216705,302174,95166,211991,827271,313630,514502,88937,160971,546997,569312,134703,127799,128841,115215,127151,658864,467463,342461,192235,32600,1223743,340116,21438542,19896009,934799,1484254,1603882,1182839,53546,2783078,854761,17088,108580,102292,586717,19187,25177,178599,2550362,463918,60527,73936,54418093
V001,Compensation of employees,44527,35555,31824,23658,36984,103431,799308,32297,38942,41277,128099,120012,187376,47290,96593,106326,25178,69647,160356,12641,7740,36515,26845,22688,136974,62338,733047,172609,138881,126489,408112,88114,26365,9882,135191,37736,10719,147652,121581,184170,42580,129892,236515,354009,364518,390088,6758,28487,143587,51506,188351,445176,972752,482843,587967,49486,268002,816417,561566,188682,204772,88859,81316,108160,458750,437654,339732,267716,72723,1760774,144514,15049121,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00OTOP,Other taxes on production,12584,1672,31940,3846,2646,45724,11897,929,2008,3345,4023,4827,11201,1563,4879,3926,527,2208,9189,811,383,2357,992,4900,19474,2222,18303,4384,4547,3516,18768,5068,1686,1164,5730,1348,4832,3208,1136,6916,5069,4070,5653,22805,6553,9028,720,356011,40183,11487,1850,3024,13924,10768,6080,2654,11998,11313,16639,4937,1724,3765,4989,8454,6087,14535,---,---,---,---,---,855001,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00OSUB,Less: Other subsidies on production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,146,1,0,0,0,0,0,0,0,0,3,0,0,0,646,298,50,3742,0,0,0,0,0,---,---,---,---,---,4883,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
V003,Gross operating surplus,165755,15701,171675,49165,30939,265705,491187,26742,36365,31686,56715,83450,100569,31742,83984,86897,8686,41566,176219,2865,4310,35413,13399,166750,392366,35857,644944,113557,60098,39963,451114,52740,28659,12924,115757,43057,32862,64884,5124,250247,70014,329281,284059,633241,23268,353401,20388,2498383,645833,284822,176072,64945,448387,48611,219292,33613,53397,249222,108844,14121,21837,91307,26404,101857,155312,154567,209673,169656,12204,312559,52241,12388448,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
VABAS,Value Added (basic prices),222866,52928,235439,76669,70569,414860,1302392,59968,77315,76308,188837,208289,299147,80595,185456,197149,34391,113421,345764,16317,12434,74285,41235,194338,548814,100417,1396294,290549,203526,169967,877994,145924,56709,23970,256678,82141,48413,215744,127841,441334,117663,463243,526227,1009909,394337,752517,27866,2882881,829604,347815,366273,513145,1435063,542220,813340,85754,333398,1076306,686751,207691,224591,183931,112709,218470,620149,606756,549405,437372,84927,2073333,196755,28287688,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T018,Total industry output (basic prices),572741,67211,438824,135721,110289,603774,2508497,173952,175089,301892,458799,436395,411954,193119,770569,376961,84552,177699,1238463,46827,21862,218686,84346,649257,990617,297324,2629509,485502,318257,254347,1468895,299488,95998,77194,526269,176504,73123,354422,188312,650245,205261,900261,887224,1420519,930911,1496709,264623,3192628,2046309,649989,461439,725136,2262334,855850,1327842,174691,494369,1623303,1256063,342393,352390,312772,227924,345621,1279013,1074219,891866,629608,117526,3297076,536871,49726230,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00TOP,Taxes on products and imports,---,928,17169,4130,271,39497,3010,203,201,208,1697,332,636,184,398,180,57,475,14412,19,20,148,66,1373,5257,1054,309995,66301,32606,54117,153979,30189,902,369,678,1709,88,488,307,1373,1722,38302,2828,3639,1744,39289,115,---,1836,20354,21446,9104,10038,2113,9762,2847,1388,2647,4743,4624,2042,6830,23295,38779,82959,21229,---,---,0,---,977,1099682,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00SUB,Less: Subsidies on products,7036,---,---,---,---,0,---,---,---,---,---,---,---,608,---,---,---,---,---,20,---,---,---,0,50,---,---,0,---,---,---,401,4442,5,0,---,---,---,---,---,---,0,---,263,---,---,---,28893,1198,---,---,---,---,---,---,---,---,---,14,---,---,---,---,---,---,---,---,---,6847,---,39580,89356,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
VAPRO,Value Added (producer prices),215830,53856,252608,80799,70840,454357,1305402,60171,77516,76516,190535,208621,299783,80171,185854,197330,34448,113897,360176,16316,12453,74433,41301,195712,554021,101471,1706289,356851,236132,224084,1031973,175712,53169,24335,257356,83850,48501,216231,128148,442706,119385,501545,529056,1013285,396082,791806,27981,2853988,830242,368169,387719,522249,1445101,544333,823102,88601,334785,1078954,691481,212314,226633,190761,136004,257248,703108,627985,549405,437372,78079,2073333,158152,29298013,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
